stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1.23,0,0,1.15,3.77,0,0,0.93,0,1.04,0,0,0,0,0,0,0,0
 24-34,0,0,1.24,0,0,3.12,0,0,0,0,0,0,0.76,0,0.62,0,0,0,2.06,8.86,0,0,3.53,12.81,0,1.34,0,0,5.16,1.68,0,1.98,0,0,7.99,0,0
 36-46,0,0,1.78,1.32,0,1.26,0,0,0,0.92,0,0,0.56,0.58,8.67,0,0,0,0,11.58,3.83,0,1.96,33.48,0,0,0.63,0,17.02,4.05,0,3.35,0,0,0,0,0
 48-58,0,0,0,1.03,0,6.51,0,1.52,1.41,3.27,0,0,0,0,6.13,0,0.46,1.48,0,11.74,3.13,0,3.74,19.37,0,0,1.75,0,9.89,0,0.93,1.77,0,0,0.82,0,1.09
 60-70,0,0,6.11,0,0,5.35,0,0,0,8.13,0,0,0,4.97,0,0,3.39,1.35,0,25.82,4.92,2.56,1.98,18.03,0,0,1.58,0,8.02,1.95,0,0,0,2.09,1.4,0,0
 72-82,1.9,0,1.6,18.17,0,4.49,0,1.27,5.17,38.5,0.54,0,0.51,2.94,0.63,0,3.13,0,0,60.57,9.56,0.75,9,27.84,0,0,6.1,2.12,1.13,0,0,0,0,0.9,4.72,3.72,16.27
 84-94,0,0,3.55,12.55,0,6.31,7.04,0,2.76,18.07,2.99,0.64,0,8.15,2.34,0,0,0.69,3.39,62.47,6.73,0,4.6,17.12,0,0,5.23,2.48,5.9,0.7,0,0.95,0,1.25,1.14,1.59,0.64
 96-106,1.11,0,3.43,21.2,0.77,8.94,0,10.58,2.56,47.73,6.58,0,1.83,6.57,0,2.31,3.48,5.58,0,96.16,7.1,0.88,8.93,27.56,0.62,0,8.56,0.81,5.66,1.25,4.4,3.82,2.22,0.87,5.73,8.41,2.49
108-118,0.79,0.45,7.59,20.74,0,3.66,0,0,6.08,47.3,15.44,0,0.8,3.46,2.6,8.11,1.53,3.44,0,117.18,6.94,9.22,8.98,46.7,0,2.01,6.91,3.26,6.07,2.85,0,1.01,0.42,2.23,5.56,3.6,4.92
120,0,0,17.22,15.88,1.71,23.62,0,7.11,1.29,103.48,1.21,0,1.15,14.6,0,2.6,10.42,3.21,0,104.24,0,1.83,7.45,41.17,0,0,13.49,2.03,1.39,0,0,12.59,0,0,12.63,3.81,6.16
