stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,124.74,1485.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.85,0,0,0,0,0,0,0,0,0,0
  5-6,135.66,1822.46,0,0,0,0,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,55.96,14.47,0,0,9.21,0,35.75,0,0,0,0,0,0,0,0,0,0
  7-9,41.58,74.87,0,85.77,0,0,135.32,0,0,0,0,0,53.25,0,0,0,0,0,0,0,0,0,0,1424.39,29.99,0,0,490.39,0,0,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,6.21,0,70.36,0,0,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.28,21.39,0,0,419.3,0,0,0,5.64,3.43,0,0,0,0,0,0,0
 14-21,0,0,0,2.74,28.11,5.67,19.15,0,0,0,7.44,0.85,0,0,0,0,0,0,0,0,35.76,0,10.67,421.42,4.45,3.07,0.91,6.97,0,0,0,16.38,0,13.14,99.41,0,0,2.24,0,0
 24-34,0,0,0,5.34,5.3,0.62,60.67,0,0,0,25.82,0,0,0,0,0,0,0.86,0.89,0,50.56,0.81,11.24,1232.33,0.62,9.45,9.68,0,0,0,0,0,0.78,1.41,262.59,0,0,0.94,0,0
 36-46,0,0,0.95,0,1.23,0.58,341.18,0,0,1.09,56.85,0,0,0,0,0,3.15,0.65,1.94,0,57.56,1.26,24.72,2580.22,0.85,11.59,3.92,0,0,1.6,0,2.14,0,0,504.66,0,0,0.75,0,0.59
 48-58,0,0,0.44,0,12.83,0,571.42,0,3.52,0.48,80.82,0,0,0.44,0,0,1.03,0.4,1.26,0.48,83.61,11.04,7.56,1851.65,9.7,4.61,0,0,0.95,4.22,0,0,0.73,0,377.2,0,0.51,2.67,0,0.85
 60-70,0,0,0.7,0,1.22,0,914.95,0,0,0.78,65.97,0,0,1.76,0.72,0,0,0,0.81,4.38,94.73,2.23,7.38,2112.58,0.83,4.17,5.71,0,0,1.56,0,0,0,0,294.76,0,0.83,1.81,0,11.22
 72-82,0,0,1.96,0,10.4,0,411.17,0,0.5,0,60.16,0,0,0,0,0,0,1.33,0,0.5,71.93,7.45,6.28,901.58,0,2.84,3.32,0,0,6.04,0,0,0,0,141.88,1.34,1.33,2.18,0,0
 84-94,0,0,1.44,0,18.04,4.66,311.81,0,3.24,3.99,35.99,1.32,0,1.14,1.68,1.85,0.57,0.81,5.66,0,77.77,5.98,2.59,648.09,0,0,1.1,0,0,5.22,0,0,0,0,69.3,0,1.27,2.49,2.14,0
 96-106,0,0,4.6,0,0.97,3.66,231.43,0,0.6,5.4,36.74,1.83,0,0.76,0.78,0.94,0,1.07,10.5,0.67,70.25,5.56,4.01,450.54,0,3.45,2.7,0,1.82,0,0,0,0,0,51.49,0,1.75,0,3.23,0
108-118,0,0,2.74,0,6.36,1.31,199.71,0,1.85,0.51,46.4,0,0,0,0.45,0,0,1.8,0,0,50.2,1.31,5.57,556.05,0,11.38,0.86,0,0,2.88,0.48,0,0,0,44.73,0,3.29,4.34,0.95,0
120,0,0,0,0,9.74,3.29,225.66,1.72,0,0,68.69,0,0,0,1.49,0,1.18,0,0,0,120.33,7.03,5.06,893.15,0,3,3.16,0,0,0,0,0,1.14,0,7.65,0,0,0,7.01,0
