stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.34,47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.06,132.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.44,24.12,0,18.48,0,0,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.18,41.37,0,0,2308.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,360.06,0,862.92,0,5.97,29.92,0,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0,0,3876.77,449.85,0,0,14843.35,0,8.76,5.47,71.11,1245.08,0,215.71,82.86,0,0,0,0,0
 14-21,0,4.35,0,10.42,723.11,187.85,7.56,0,2.69,0,257.77,136.16,0.89,1.15,0,1.79,0,0,2.12,232.61,2.63,0,739.5,380.44,113.93,1.4,0,342.92,0,15.84,0,1930.19,121.37,11.68,1854.93,3310,0,0,33.4,0,0.84
 24-34,0,0,1.79,14.53,26.91,4.17,8.89,0,4.72,8.94,320.49,8.27,2.21,1.36,6.32,0.7,0.63,0.65,5.94,290.12,0,2.32,568.31,339.25,2.7,3.46,0.69,0,0,15.78,0,5.74,14.94,5.24,102.19,2349.18,0,0,104.84,0,2.22
 36-46,0,0,0,0,17.9,0,14.55,6.47,3.33,32.46,198.67,3.94,0,0.79,0,0,7.92,0,4.1,363.39,0,7.4,345.31,391.68,7,0,0,0,0,8.59,0,0,9.85,16.28,1.34,3502.63,0,0,41.63,0,1.16
 48-58,0,0,0,0,25.79,0,92.55,3.52,29.26,32.89,259.1,0.91,0,0,0,0,12.29,0,0.59,350.79,0,11.11,182.9,472.89,2.1,0,0.57,0,0,4.86,0,0,0.89,11.03,2.82,3998.59,0,0,28.46,0.78,3.32
 60-70,0,0,0,0,0.64,0,63.73,0,10.53,34.63,144.07,0,0,0,0,0,6.78,0.88,6.36,353.04,0,21.95,113.54,118.49,11.09,0,0,0,6.76,3.16,0,0,5.19,3.88,0,1450.46,0,5.62,12.21,2.65,5.23
 72-82,0,0,0.88,0,6.5,0.91,62.18,0,4.91,43.01,238.62,3.4,0,0,0,0,3.2,1.35,2.88,299.29,0,25.27,139.74,109.98,0.5,0,0,0,0,2.66,0,0,2.14,0,0,1043.21,1.21,8.41,27.75,4.65,6.89
 84-94,0,0,0,0,3.76,9.58,25.88,0,4.97,15.78,254.08,3.86,0,0,1.41,2.57,2.5,0,18,237.96,0,21.12,71.67,137.07,1.55,0,0,0,0,4.98,0,0,1.11,8.27,0,600.97,0,6.68,31.13,8.95,0
 96-106,0,0,0,0,1.67,3.61,34.05,0,11.19,24.98,213.06,5.7,0,0,0,0.82,3.34,0.95,0.58,210.41,2.95,15.82,80.04,119.77,2.6,0,0,0,4.84,1.22,0,0,3.1,6.58,0,208.28,0,2.45,46.89,8.66,1.29
108-118,0,0,0,0,5.23,0.79,36.49,4.23,6.01,14.77,184.38,1.84,0,0,0.42,0,8.78,0,3.48,253.47,0,31.25,86.95,105.24,0.5,0,0,0,6.11,9.9,0,0,1.09,1.88,0,177.66,0,1.16,23.71,14.72,0
120,0,0,0,0,18.65,0,13.85,0,13.66,28.66,139,16.37,0,0,0,0,0,0,0,326.93,0,43.53,47.91,127.79,3.12,0,0,0,0,0,0,0,8.91,0,0,219.23,0,11.19,47.53,21.54,0
