stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,11.43,323.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0
  5-6,31.25,346.91,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0
  7-9,5.79,0,7.53,0,0,11.27,0,0,0,0,0,0,0,124.6,0,14.97,3.37,0,0,0
 10-12,0,25.44,11.36,0,0,10.68,0,0,0,0,0,0,0,91.28,0,24.57,4.33,5.43,0,0
 14-21,0,0,0,2.42,0,0.9,0,0,0,0,0,0.84,0,6.52,0,0,0,0,0.94,0
 24-34,0,0,0,0,0,0,0,0,1.22,0,0,0.62,0,6.88,0,0,0.71,0,1.72,0
 36-46,0,0,0,0,0,0,0,1.64,0,0,0,0.94,0,10.69,0,0,4.13,0,0.7,0
 48-58,0,0,0,0,0,1.22,0,0.61,0,0,0,0.74,0,4.7,0,0,0,0,3.23,0.5
 60-70,0,0,0,0.7,0,2.04,0,0,0,0,0,1.12,0,3.77,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.66,1.25,0,0.65,0,0,0,5.56,0,0,0.55,0,0,0
 84-94,0,0,0,0.71,0,0,0,0,3.04,0,0,0.71,0,0,0,0,1.51,0,0,0
 96-106,0,0,0,0,5.34,0.91,0,0,0.74,0,1.03,0,0,0,3.61,0,1.96,0,0,0
108-118,0,0,0,0,0,1.25,0,0,0,1.39,0,0,0,6.06,0,0,0.75,0,0,0
120,0,0,0,3.22,0,0,0,0,0,0,0,18.02,2.91,20.25,0,0,0,0,0,0
