stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,0,1.36,20.43,0,0,0,0,0,9.52,0,0,0
 24-34,0,1.05,0,0.98,0,0,0,0,0,0,0,0,0,0,162.55,6.42,0,0,0,0,28.72,0,0,0
 36-46,0,1.4,0.79,73.41,0,8.1,0.59,0,0,0,0,0,0,0,464.53,1.82,0,0,0.83,0,81.85,0,0,0.64
 48-58,0,0,0.58,195.17,0.93,4.5,0,0,0,0,0,2,0,1.06,518.89,0.88,0,0,0,0,86.52,0,0,0
 60-70,0,0,0.95,431.97,0,16.4,0,0,0,0,0,0.95,0,0,494.22,1.42,0,0,1.36,1.12,55.15,0,0,0
 72-82,0,0,1.56,257.48,0,10.3,0,1.13,0,0,0,0.63,0,1.35,463.5,4.71,0,0,0.55,0,37.4,0,0,3.07
 84-94,0,2.1,0.91,194.81,0,5.55,0,0,0,0,0.57,4.58,0,0,236.4,0.89,0,0,6.56,0,42.79,0,0.64,0
 96-106,0,0,0.57,171.13,0,19.77,0.75,0,0,0,0,4.79,0.81,0,202.45,6.74,0,0,4.59,0,14.37,0,1.27,0
108-118,0,0,2.41,177.79,0,8.07,0,0,1.01,0.66,0,3.25,0,0,220.69,6.35,0.74,2.98,0.73,1.48,4.74,0.52,0,0
120,0,0,3.46,153.32,0,20,1.71,0,0,0,0,2.94,0,0,314.57,1.48,0,0,1.27,0,0,0,0,0
