stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.95,5.09,0.84,0,1.11,0,0,0,0,0,7.49,0,0,0,0,0,0,0,9.34,0,0,8,7.86,8.04,0,0,0,0,28.9,0,1.1,1.16,0.91,2.1,13.59,0,0,0,0,0
 24-34,0,0,0,11.58,0,0,5.24,0.74,0.62,0.84,6.11,0,7.23,0,0,0,0,0,1.3,13.23,59.24,0,0,54.45,61.24,4.4,0,0,0,0,57.58,0,0,0,0,3.86,11.58,0,0,19.71,0,34.87
 36-46,0,1.48,0,16.74,1.12,0,8.82,3.44,1.57,1.74,7.04,0,0,1.35,1.12,0,0,0,0,250.95,108.28,0,2.26,32.08,126.83,17.08,0,0,0,0,63.02,0,0,12.7,0.58,0,28.5,0,0,9.89,0,143.59
 48-58,0,0,0.43,9.54,0,0,31.57,8.37,5.14,4.73,22.12,3.15,3.73,0,1.75,0,9.1,0.45,1.37,244.95,100.08,1,1.17,19.19,251.86,20.06,0,0,0,0.53,46.47,0,0,0.91,1.4,0,28.7,0,0,1.29,0,220.96
 60-70,0,2.29,0.68,10.84,0,0,99.87,6.03,2.1,37.16,29.63,1.81,0,0.93,1.01,1.72,10.74,0,1.77,205.18,262.8,1.1,4.23,18.02,413.86,15.73,0,0,0,0,64.4,0,0,0.62,0,0,49.2,0,0,21.02,0,290.02
 72-82,0,3.22,0,12.44,4.24,0,180.03,1.01,1.7,30.33,50.42,2.71,1.15,0.68,3.84,0.58,10.56,0,1.99,133.66,499.54,0,6.62,31.91,507.24,5.71,0.58,1.63,1.13,0,39.79,0,0,0.53,0.79,0,63.92,0,4.62,39.06,1.24,207.51
 84-94,0,4.49,0,27.16,3.06,0,215.52,7.69,17.65,50.34,43.77,6.59,1.3,2.61,9.76,8.13,25.98,2.55,2.99,323.26,411.33,3.26,4.51,25.1,402.22,13.95,3.99,1.74,0,0,121.76,0,0,0,0,0,37.7,0,1.67,28.75,0,204.04
 96-106,0,0,0,28.73,2.06,0,199.17,8.74,11,28.87,58.6,10.75,0,6.35,5.92,0.87,40.46,0,1.94,155.49,545.82,0.69,6.44,35.07,359.12,6.51,4.21,11.34,0,2.61,91.75,0.76,0,0,0.84,0,44.52,6.15,3.43,42.21,4.58,206.39
108-118,0,1.26,0,51.05,9.57,8.3,211.33,3.34,20.27,27.55,92.6,13.74,0,3.86,5.72,3.79,91.57,0,2.44,244.22,716.77,7.73,10.22,46.7,455.73,7.06,0,5.17,0,0,85.97,0,0,1.75,0.47,0,40.16,1.72,0.9,55.57,1.72,236.01
120,1.12,0,0,60.51,1.49,0,308.82,1.61,16,39.8,145.26,16.15,0,6.72,10.52,2.93,72.98,0,5.02,90,798.2,1.63,25.5,34.47,846.67,33,1.48,10.48,0,1.79,44.09,0,0,1.26,0,0,58.55,2.24,1.32,25.12,6.52,35.24
