stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.84,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0.86,0,0,0,0,0,0,0,0,1.12,2.08,0,0,4.33,1.44,0,0,0,1.36,0,0,0,0,0,0,0,77.19,0,0,0,0,0,0
 24-34,0,0,1.34,0,0,0,0,0,0,0,0,0,2.76,2.48,0,0,0,3,4.01,0,0,123.68,1.71,0,0,0,0,0.84,0,227.04,46.65,0,0,0,0,2.99
 36-46,0,0,7.81,0,0,0.68,1.04,0,3.32,0,0,0,2.43,26.68,0,0,0,0,3.27,0,0,222.87,0,2.49,0,0,0,3.42,0,136.74,99.37,0,0,2.38,0,17.47
 48-58,0,0,13.24,0,0,9.04,0,0,0,0,0,0,18.29,12.43,0.85,0,0,17.98,5.04,0,1.95,197.01,0,0,0,0,0,92.26,0,44.67,82.87,0,0,1.79,0.97,21.99
 60-70,0,0,8.79,0,0,3.5,0.9,0,1.15,0,0.66,0,30.6,5.27,1.18,3.17,1.45,17.18,5.25,10.43,6.6,143.94,0,0,0.77,0,0,133.73,0,31.44,36.43,1.38,0,7.94,0.89,10.53
 72-82,0,0,7.89,0,0,21.44,4.8,0,0.56,3.82,0,0,10.56,4.03,5.83,0,0,56,21.02,1.85,1.76,161.44,0,0,0.56,0,2.35,21.23,1.65,37.05,34.34,6.06,3.98,1.35,9.33,6.53
 84-94,0,0,23.58,0,0,9.13,2.75,3.19,2.05,4.44,0.86,0,43.72,3.81,2.76,0.78,6.85,69.17,21.63,0,5.64,113.28,0,0,0,0,0,63.07,0,36.05,19.08,6.74,0,2.77,11.24,2.65
 96-106,0,0.81,12.34,5.33,5.91,14.42,1.65,0,17.93,14.77,0,0,39.95,8.02,0.89,2.89,18.66,32.7,27.72,6.29,2.01,93.37,0,0,0.86,0,0.79,26.88,0,29.82,5.8,3.88,17.46,0.62,16.17,13.35
108-118,0,0,27.02,0,0,6.37,2.1,2.41,16.4,20.22,0,0,34.29,13.7,1.2,0,4.18,72.07,16.09,5.12,0,85.96,0,0,0,0,2.83,40.91,0,16.68,0,19.06,2.7,1.23,13.28,18.86
120,0,0,27.88,2.02,0,4.1,0,0,17.74,2.48,0,2.27,86.26,6.92,4.74,0,0,38.19,5.47,17.27,1.2,207.9,0,8.55,0,0,0,26.76,0,8.67,1.95,3.65,31.13,3.59,34.32,2.34
