stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.49,24.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.41,0,7.48,0,0,0
 10-12,0,0,0,9.36,0,0,0,0,0,0,16.88,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0
 24-34,0,0,0,2.41,0,0,0,0,0,0,20.47,1.36,0,0,8.75,0
 36-46,0,0,0,6.21,0,2.85,0,1.97,0,0,56.88,0,0,0,7.16,0
 48-58,0,0,0,5.07,0,4.42,0,0,0,0,58.11,1.77,0,0,15.33,2.13
 60-70,0,0,0,23.3,0,0,0,0,0,0,29.68,1.12,0,0,21.77,0
 72-82,0,0,0,32.78,0,0,0,0,0,1.56,30.95,1.93,0,1.29,13.42,0
 84-94,0,0,0.69,22.66,0,2.71,0,5.94,4.93,0,57.33,0,0,0,5.17,0.6
 96-106,0,0,0,10.12,0,1.47,0.77,5.07,0,0,48.19,1.83,0,0,0,0
108-118,0,0,0,4.88,0.54,0,0,1.53,0,0,29.33,0,0,0,0,0
120,0,0,0,18.9,0,4.73,0,7.9,0,0,43.67,0,0,0,4.09,0
