stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2408.12,79626.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,2347.21,63160.34,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.18,0,0,0,8.27,0,884.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,477.5,9.07,0,5.23,0,0,17.44,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,342.55,342.41,0,0,55.28,0,0,37.6,0,0,0,0,0,0,0,0,0,0
 10-12,12.43,29.71,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.23,662.23,0,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,32.55,5.73,187.76,13.99,164.36,0,0,0,0,1.08,3.17,0,0,3.05,15.1,0,0,108.53,673.35,0,0,273.64,3166.73,81.36,168.7,36,2.06,0,2.34,0,17.63,5.33,1.09,16.07,240.37,0,0,2.1,0,79.52
 24-34,0,0,14.41,3.92,78.92,2.36,78.57,0,3.61,30.38,0,0,2.75,2.04,0,0.6,32.54,21.27,0,232.18,1647.61,0,1.91,496.64,698.17,67.19,359.67,65.83,0,0,2.33,0,7.09,5.15,0,2.78,126.74,0,0,4.03,0,274.6
 36-46,1.07,0,2.88,0,43.27,0,27.62,0,10.15,86.09,0,0,0,0,0,0.62,14.1,20.91,0,49.21,1198.77,0.61,25.92,362.02,536.35,17.58,91.09,6.21,0,5.08,3.98,0,13.03,5.21,0,0,53.62,0,23.49,0.68,0,110.38
 48-58,0,0,3.27,0,44.13,1.51,73.76,2.23,4.69,142.61,7.04,0,45.1,1.83,0,0.4,47.74,8.7,0,1.51,1307.08,0,61.56,240.88,502.87,5.28,29.63,7.89,0,1.84,9.09,0,0,5.22,0,0,28.34,0,17.89,3.63,4.27,70.01
 60-70,0,0,7.51,0,81.06,0,38.44,0,0.91,108.17,30.53,3.07,12.1,0,3.99,5.93,86.43,12.4,0,1.24,1112.66,1.83,198.61,95.98,311.74,1.35,18.91,0.96,0,28.87,0,0,0,12.98,0,0,9.92,2.14,50,0.96,24.64,79.95
 72-82,0,0,4.12,0,47.97,1.26,84.69,0.65,8.36,257.03,39.58,1.96,10.77,4.53,1.25,1.88,115.85,31.02,0,7.97,1405.55,0.62,261.59,167.1,325.51,0,14.55,0,0,95.14,2.17,0,0,17.09,0,0,8.1,3.06,168.47,16.89,101.58,82.18
 84-94,0,0,9.48,0,69.26,5.21,98.64,0,0,138.87,48.79,2.66,20.93,9.21,4.18,3.54,144.31,40.74,1.81,0.73,1022.64,0.88,297.95,116.95,231.48,2.71,18.12,0,0,78.9,1.95,0,0,0,0,0,2.87,7.6,170.34,11.76,90.95,46.25
 96-106,0,0,11.69,0,63.59,0,99.86,0,3.41,104.31,51.21,10.24,0,0,3.24,3.63,162.39,18.35,2.72,0,972.13,0.63,211.86,123.61,248.54,4.02,28.54,3.35,0,140.35,1.72,3.46,0,20.6,0,0,3.8,10.43,99.98,14.75,118.87,43.31
108-118,0,0,8.59,0.49,60.65,0.52,94.96,0,2.5,113.17,45.57,13.51,0,0,3.3,3.19,290.33,24.35,3.36,0.72,967.68,0.77,157.44,76.65,322.71,0,34.49,2.42,0,170.33,4.31,0,0,15.09,0,0,1.72,7.37,47.49,13.32,81.84,52.7
120,0,0,2.14,0,11.7,9.23,54.91,0,0,100.89,39.01,1.28,0,1.54,0,2.4,170.32,3.55,0,0,671.41,0,225.22,71.78,278.13,0,14.27,4.51,10.96,150.34,0,2.5,0,3.15,0,0,0,4.63,38.7,26.37,89.43,15.04
