stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,42.49,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0
  7-9,5.41,0,0,0,19.2,0,0,0,0,0,0,0,24.88,0,0,46.97,0,0,0,0,0,0
 10-12,0,0,4.42,0,3.61,0,10.07,0,0,0,0,0,87.53,0,0,19.49,0,0,8.66,0,0,0
 14-21,0,0,0.9,3.84,0,3.17,0,0,0,0,0,1.09,2.42,0,0,0,0,0.98,0,2.8,3.3,0
 24-34,0,0,0,0,1.08,0,0,0,0,0.86,0.69,0,13.8,0,0.62,0,0,0,0,0.66,3.31,0.71
 36-46,0,0,0,0,0.94,0,0,0,0,0,0,0,2.44,0,0,0,12.7,0,0,0,0.69,2.11
 48-58,0,0,0,0,0,0,0,0.49,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.21,0,0.74,0,1.2,2.77,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,2,0,0,0,0,0,0,3.84
 84-94,0,0,0,0,0.63,0.75,0,0,2.64,0,0,0,3.45,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.1,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
