stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0,11.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0.82,1.3,0,0,0,0,0
 24-34,0,0.69,0,5.53,0,0,0,0,0,57.47,0,2.77,10.24,0,0,55.9,0,21.79,0,0,0,0,8.03,0,0,0,0,0
 36-46,0,3.58,0,14.92,0,0,0.61,0,0,156.87,0,0,11.86,0,0,167.43,0,38.88,0,0,3.06,0,16.62,0,0,0,0,0
 48-58,0,6.5,2.11,46.7,0,0,3.72,0,0,49.96,5.9,1.53,8.47,0,0,324,0,34.56,0,0,4.52,0,46.46,0,0,0,0,0
 60-70,0,4.51,0,163.24,1.14,0,0,0,0,76.67,0,8.01,7.18,0,0,744.11,0,56.9,0.82,0,3.86,0,51.35,0,0.73,0,20.48,0
 72-82,0,3.94,0.65,333.81,0.87,0,10.21,1.27,0,33.1,0,10.97,5.84,1.11,0.8,923.14,0,77.59,0,0,2.89,0,60.12,0,0,6.07,56.33,8.1
 84-94,0,7.39,2.5,284.27,0,0,12.29,0,0,28.87,0,5.53,9.94,0,1.38,732.64,0,101.09,0,0,0.65,0,52.24,1.17,0,0.98,48.94,0
 96-106,0,17.56,1.94,318.15,0,0.77,12.19,1.11,0.87,58.73,0,15.21,11.19,2.12,1.94,639.78,0,86.8,0,0,0,0,46.97,0,0,0.73,149.65,0
108-118,0,27.47,1.56,317.42,0,0,27.99,0,0,63.4,1.6,11.54,8.07,0,0,820.87,0.86,72.46,0.82,0,1.94,0,15.58,1.13,0,0,88.89,1.42
120,0,14.1,0,370.15,0,0,14.81,1.79,0,18.78,0,24.54,1.59,19.72,0,1690.58,0,65.13,0,0,4.52,0,46.92,0,0,8.82,126.16,0
