stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,468.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.21,419.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,14.1,0,16.41,0,13.07,0,0,0,0,6.59,0,0,0,0,0,0,0,248.4,15.86,0,0,67.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.6,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,172.52,0,0,0,65.83,0,0,16.2,0,0,0,0,0
 14-21,0,0,0,0.96,5.95,3.01,0,0,0,0.86,0,0,0,0,0,0,6.74,3.45,35.16,0,0,0,0.82,0,2.97,0,3.14,11.09,1.26,0,0
 24-34,0,0,0,0.67,1.3,6.11,0,0.73,0,2.92,0,0,0,0,0.65,4.97,6.96,0.72,48.4,0,0,3.1,0,0,0,0,1.36,15.29,3.55,0,3.29
 36-46,0,0,0,0,0,6.83,0,0,0,3.58,0,0,0,0,0,0,5.03,0.63,29.02,1.04,0,0,0,0.78,0,0,0,10.51,1.52,0,6.41
 48-58,0.77,0,0,0,0,10.46,0,0,0.43,4.15,0,0,0,0,0,7.21,6.22,2.15,27.71,0,0,0.37,0,7.19,0,0,0,4.12,1.59,0,6.04
 60-70,0,0,0,0,0.64,7.2,0,0,0,5.78,0,0,3.74,0.72,0.88,0.71,19.95,1.14,29.27,0,1.65,0,0,0,0,0,0,7.47,0.89,0,1.44
 72-82,0,0,0,0,0,12.32,0,0,1.07,5.08,0,0,0,0,0,0,12.8,2.31,12.81,0,1.37,0,0,0,0,0,0,0,0,0,0.55
 84-94,0,0,0,0,0,2.71,0,0,0,8.2,0,0,0,0,0,8.78,4,0,14.07,0,0,0,0,1.24,0,0,0,0,0,0,0
 96-106,0,0,1.19,0,0.66,3.17,0,1.74,0.75,4.26,0,1.2,0,0,0,0,1.55,0,3.21,0,1.1,0,0,0.93,0,0,0,3.52,0,0.89,0
108-118,0,0,0,0,0,2.9,0.49,0,0,4.33,0,0,0,1.95,0,0,4.42,0,6.3,0,0,0,0,0.88,0,0,0,0,0.83,0,0.51
120,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,2.61,0,2.98,0,0,0
