stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.46,869.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.61,0,0,0,0,0,0,0,0,0,0
  5-6,37.52,379.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.71,8.78,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,53.54,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.42,0,0,0,7.19,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0,190.46,10.31,0,0,10.94,0,0,0,0,7.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.15,20.73,0,4.46,0,0,0,0.9,0,0,0,0,0,0,0,0.97,0,21.11,0,0,5.16,167.46,7.02,6.31,0.84,0,0,3,0.9,12.2,0,21.24,17.97,73.5,0,20.34,0,0
 24-34,0,0,1.26,2.01,7.96,1.85,0,17.14,1.7,0,0,16.51,0.63,0,0.67,2.59,0,0.7,0,0,0.74,37.74,4.95,0,12.93,832.14,0,9.47,2.12,0,0,2.79,0,0,2.4,7.99,7.46,222.05,0,60.28,0,0
 36-46,0,0,0,0,0.94,0,0,127.94,0,5.91,1.99,44.42,0,0,2.58,5.78,0,0,0,0,1.45,31.84,0,0,7.03,2184.09,0,7.18,4.8,0,0,0,0,0,0,0,0.58,369.9,0,36.83,0,16.35
 48-58,1.15,0,0.67,0,2.79,0,0,433.94,3.31,8.54,1.61,109.34,0,0,0.61,11.12,5.05,0,0.38,0,0,58.38,0,1.26,7.85,2388.27,0.39,3.77,0.91,0,0,0.42,0,0,0,1.28,0,378.58,0,36.3,0,3.72
 60-70,0,0,0,0,4.06,0.63,0,1063.13,0,1.97,0,61.98,0,0,0.9,6.89,0,2.7,1.22,0,0,44.63,0,10.37,4.69,2198.74,0,3.45,0,0,0,15.16,0,0,2.7,0,0,318.21,0,25.46,0.9,13.37
 72-82,0,0,1.43,0,4.93,0,0,664.58,1.11,0,0,57.11,0.71,0,0.51,7.35,0,1.72,0,0,0,58.56,0,5.68,8.42,1304.51,0,8.16,1.35,0,1.78,0.66,0,0,0,0,0,97.71,2.05,64.48,3.19,3.43
 84-94,0,0,4.89,0,5.97,0.75,0,401.88,3.46,0,0,57.36,3.57,0,0,8.1,0,4.61,0,0,0,38.04,0,7.84,6.23,825.26,0,5.63,3.55,0,2.65,0.81,0,0,0.64,0,0,78.46,4.92,45.62,5.93,0
 96-106,2.68,0,0.99,0,5.31,5.91,0,353.05,3.44,0.59,0.97,42.45,2.44,0,2.49,6.96,0,0.97,0,2.16,0,37.43,0,5.65,2.14,702.99,0,4.14,0,1.2,2.01,0,0,0,0,0,0,36.74,0,48.48,14.51,0
108-118,0,0,0.97,0,11.22,1.98,0,312.97,0,0,0,30.67,3.78,0,1.56,8.31,0,2.34,0,2.28,0,21.41,0,7.6,2.42,785.95,0,13.42,3.91,0,0,6.22,0,0,0,0,0,50.42,0,36.66,3.75,0
120,0,0,4.34,0,15.98,1.91,3.69,297.13,0,0,0,74.6,9.62,0,4.46,8.27,0,0,0,0,0,77.86,12.9,15.44,16.87,1516.03,3.89,14.81,0,0,0,1.06,0,0,0,0,0,26.16,0,109.25,29.43,0
