stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.57,331.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0
  5-6,6.61,188.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.84,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,279.01,7.86,0,0,18.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.9,0.99,2.69,0,0,0,129,0,0,0,2.77,0,0,97.07,0,7.33,18.98,2.82,0,0,1.46,123.02,1.32,273.64,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.8,0,112.63,0,0.78,0,3.4,0,0.6,125.76,0.75,41.36,3.28,0,0,0,0,67.91,0,184.05,0,0,0,6.14
 36-46,0,0,0,0,0,0,0,0.89,0,63.86,0,0,0,0,0,0,52.86,0,36.75,1.47,0,0,0,0,35.71,0,154.47,0,0,0,0.67
 48-58,0,0,0,0,4.3,0,0,5.42,0.81,36.05,0,0.4,0,0.59,0,4.99,47.42,0,20.39,1.22,0,0,0,0,10.33,0,84.49,0,0,0,0.46
 60-70,0,0,0,0,0,0,0,1.68,0,38.34,0,5.58,0,0.92,1.27,0,52.89,0,34.7,6.41,0,0,0,0,22.18,0,57.34,0,0,0,0
 72-82,0,0,1.4,0,0,0,0,2.42,0,31.18,0,2.82,0,1.07,0,0,17.77,0,43.19,6.57,0,0,0,0,2.43,0,19,0,0,1.13,0
 84-94,0,0,1.11,0,5.71,0,0,10.12,0,21.83,0,2.68,0,0,0,0,16.5,0,34.84,12.65,0,0,1.4,0,9.59,0,16.74,0,0.88,0,1.72
 96-106,0,0,4.36,1.28,0,0,0.59,5.57,0,18.75,0.64,7.21,0,2.69,0,0,12.91,0,65.15,9.7,0,0,0,0,1.81,0,25.51,1.22,0,0.62,0
108-118,0,0,0,0.98,0,0,0,1,0,26.26,0,5.31,2.5,2.43,0,0,17.13,0.56,47.42,12.18,0,1.14,0,0,3.04,0,33.98,0,0,2.89,0
120,0,0,0,0,0,0,0,0,0,12.06,0,4.2,3.16,4.09,0,0,35.78,0,53.57,6.84,0,0,0,0,5.7,0,12.33,1.52,0,0,0
