stage,axial,blastomeres,eye,glial,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,338.14,8467.11,0,0,0,0,0,0,0,0,0,0,372.68,0,0,0,0
  5-6,129.32,2687.57,0,0,17.2,0,0,0,0,158.79,0,9.5,15.48,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,54.1,0,14.46,0,5.18,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.35,0,5.47,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,0,0.95,0,0,0,0,0.95,7.17,0
 24-34,0,0,0,0,0,0,0,0,0,19.16,0,0,0,0,0,14.58,0.75
 36-46,0,0,2.22,2.46,0,0,0,0,0,26.39,0,0,0,0,0,25.94,0
 48-58,0,0,8.9,0,0,0,0,0,0,3.57,0,0,0,0,0,10.23,0
 60-70,0,0,25.24,0.75,0,0,9.99,1,0,20.66,0,0,0,0,0,6.67,0
 72-82,0,0,5.68,0,0,0,5.63,0.51,0,15.81,0,0,0,0,0,0.68,0
 84-94,0,0,9.47,0,0,0.82,6.68,0,0,21.39,0,0,0,0,0,1.52,0
 96-106,0,0,15.51,5.68,0,0,2.2,1.84,0,6.86,0,0,0,0,0,1.07,0
108-118,0,0,24.81,3.35,0,0,14.8,0,1.78,3.56,1.28,0,0,0,0,3.46,0
120,0,0,0,4.05,0,0,3.12,2.26,0,24.72,0,0,0,0,0,1.19,0
