stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0
 14-21,0,4.22,30.01,3.17,1.69,0,0,3.6,0,0,1.08,0,6.29,0,9.26,24.16,2.6,0.83,0.88,3.04,3.56,4.68,7.58,0,0
 24-34,0,0.59,0,0,1.36,0,0,0,0,0,0,0,1.14,0,2,17.54,0.68,0.82,0,0.74,0,0,3.69,0,1.49
 36-46,0,0,0.74,0,0.89,0,0,0,0,0,0,0,1.08,0,0.61,29.73,7,0.61,0,3.63,0,0,1.58,0,0
 48-58,0,0,2.17,0,0.64,0,0,1.11,0,0,0,0.5,1.16,0.74,0,10.72,1.92,0.51,0,2.16,0,0,1.05,0,0
 60-70,0,0,0,0,10.33,0,0,1.94,0,0,0,0,0.6,0,0,30.59,0,0,0,1.78,0,0,0.94,0,0
 72-82,0.69,0,1.89,0,7.05,0,0.6,0.83,1.09,0,0,1.06,4.47,0,0,18.6,0,0,0,0.55,0,0,1.93,0.9,0
 84-94,0,0,0.56,0,2.16,0,0,0,0,1.14,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.7,0.78,2.32,1.1,0,0,0,0,0,0,0.71,0,0,3.4,0,1.23,0,4.96,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,4.76,0,5.43,0,9.37,0,0.43,0,0,0,0,0,0,0
120,0,0,0,0,13.33,9.59,0,0,0,0,0,0,0,0,0,16.28,3.55,0,0,1.53,0,0,0,0,0
