stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.18,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,32.46,0,0,0,0,0,0,0
 14-21,0,1.03,0.84,0,0,0,0,0,0,7,0,0,0,1.88,0,0,0
 24-34,0,1.8,0,0.73,0,0.79,0,3.37,2.58,10.08,0,0,0,0,2.51,0,0
 36-46,0,0,0,0,0,0,0,2.96,1.27,16.36,0,0,0,0,2.16,0,0
 48-58,0,2.62,0,3.77,0,0,0.44,2.83,1.96,17.4,0,0,0,0,3.64,0,0
 60-70,0,0,0,7.48,0,1.23,0,10.52,0,19.54,0,0,0,0,0,0,0
 72-82,0,0,0,2.08,0.59,0,0,0,0,6.55,0,0,0,0,0.76,1.78,0
 84-94,0,0,0,0.62,0,1.16,0,0.57,0,4.46,0,4.74,0,0,0,0,0.78
 96-106,0,0,0,3.2,0,0,0,2.41,0,9.01,0,0,7.61,0,0,0,0
108-118,0,0,0,1.85,0,0,0,12.39,0,4.62,0,0,0,0,0,0,0
120,0,0,0,0,2.35,1.14,0,0,0,0,0,0,0,0,0,0,0
