stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.75,0,0,0.87,0,0,0,4.51,0,0.97,0,0,0,0,0,2.63,0,0,0.81,30.65,1.57,0,0,1.98,0,0.83,2.83,0,1.83,9.16,0,0,0,0,0
 24-34,0,0,0,0,3.69,0,1.11,0,1.06,0,0,0,0,0,0,0,3.2,0,0,0,57.2,0,0,0,0,0,0.83,0,0,0.67,7.74,0,0,0.6,0,0
 36-46,0,12.2,1.1,0,3.73,0.65,0,0.82,2.75,0,0,0,0,1.17,0,0,1.7,0,0.8,6.22,78.42,2.28,1.31,0,0,0,0.93,0,1.34,0,5.78,0,0,0,0,0
 48-58,0,0,0,0,21.18,0,0,0.5,0,0,0,0,3.97,0,0,0,7.3,0,0,9.65,57.53,0,0.86,0,0,0,0,0,0,0,8.2,0,0.79,1.33,0,0
 60-70,10.41,3.85,0,0,46.72,0,1.31,0,7.08,0,0,1.88,0,0,0,0,12.78,0,0,1.02,93.07,0,0.67,0,0,0,5.84,0,0,0,17.89,0,0,3.46,0,0
 72-82,2.53,0,0,0,36.91,0,0,1.31,11.29,2.01,2.04,0,0,0.72,0,0,17.54,0,0,0,130.29,0,1.43,0,0,0,1.01,0,0,0,25.95,0,1.44,6.97,0,1.78
 84-94,0,0.83,0.83,0,31.86,0,0.57,0,4.38,0,0,0,0,0,0,2.16,8.9,0,2.13,0.77,62.71,1.16,0,0,0,0,1.54,0,0,0,5.42,0,0,0,0,0
 96-106,0,0,0,0,14.15,0,0,0,3.57,0.63,1.24,1.28,0,2.13,1.06,0,17.39,1.73,0,4.21,74.55,0,0,0,0,0,4.03,0,1.63,0,2.43,0,2.45,0,1.57,0
108-118,0,0,0.74,0.59,29.81,0,0,1.28,13.18,0,0.74,0.5,0.57,0,0,0,13.73,0,2.15,0,56.18,0,0.88,0.52,0,3.27,0.94,0,0,0,0,1.55,0,1.56,1.93,0
120,0,5.42,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,1.07,0,0,0,84.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
