stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0
 14-21,0,0,1.97,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,57.74,0,0,0,2.69,5.32,0,0,0,0,0,0,0
 36-46,0,0,3.67,0,0,0,0,0,0,0,0,0,0,25.52,0,0,0.56,0,0,0,0,0,0,1.77,0,0
 48-58,0,0,0.54,0,0,0,0,0,0,0,0,0,0,22.35,0,0,0,1.94,0,0,0,0,0,0.4,0,0
 60-70,0,0,0,0,0,3.98,0,0,0,0,0,0,0,12.94,0,0,0,5.23,0,0,0,0,0,0,0,9.17
 72-82,0,0,0,4.07,0,0,0,0,0,0,0,0,0,50.31,0,0,0,3.77,0,0,0,0,0,0,0,0
 84-94,0,0,0.87,0,0,2.25,0,0,0,0,0,0,0,105.71,0,0.79,0,1.14,0,0,0,0,1.47,0,0,0
 96-106,0.63,0,5.62,0,0,4.3,0,5.05,3.8,0,0,0,0,304.83,0,4.09,3.35,45.18,0,0,1.99,0,0.7,2.95,0,0
108-118,0.71,0,4.64,0,2.84,0.97,0.89,4.61,0,1.17,0.52,2.18,0.63,577.62,3.57,3.84,0,23,0,3.02,0,1.31,0.91,0,2.61,1.15
120,0,4.41,7.6,0,0,7.28,0,0,0,0,0,0,0,228.91,1.6,0,0,15.21,0,0,1.05,0,1.73,0,0,0
