stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,335.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.48,230.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.06,0,0,0,12.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,10.84,0,0,0,18.02,0,0,0,0,0,0,0
 14-21,0,0,2.2,0.86,0.93,0,0,0,0,0,0,1.38,0,0,0,0,1.68,0,0,16.72,1.4,0,0,0,0,1.23,0,10.61,0,0,0
 24-34,0,0,2.72,0.64,0,0,0,3.76,0,0,1.72,0,0,0,0,0,10.81,0,0,114.8,0,4.68,0,0,0,0,0.97,24.63,0,0,0
 36-46,0,0,4.95,0,5.93,0,0,1.09,0,0,0.99,0,0,0,0,0,0.66,0.58,0,307.07,0,8.56,0.95,0,8.23,0,0,38.7,0,0,0
 48-58,0,0,0,0,0.93,0,0,17.71,0,0,5.14,0,0.37,0,0,0,2.15,0.56,0,268.63,0,5.77,0,0,4.06,0,0,28.91,0,0,4.52
 60-70,0,0,0,0,3.58,0,0,29.12,0,0.9,2.57,1.04,0,0.81,0,0,9.87,11.08,2.03,416.87,0,5.64,1.01,0,4.15,0,0,32.6,0.81,0,0
 72-82,0,0,2.24,0,0,5.04,0,43.69,4.8,0,10.25,1.27,0,0,0,0.83,2.39,0,0,373.11,0,5.86,0,0,0,0,0,11.42,0,0,0
 84-94,0,0,4.24,0,0,0,0,42.12,0,0,7.32,4.32,0,0,0.75,0,1.39,0.76,0,337.3,0,0,0,0,0.68,0,0.7,30.08,0,0,0
 96-106,0,0,0.74,0,0,1.27,0,26.75,0,0,4.7,1.89,0,0.72,0,0,4.59,1.22,0,300.91,0,5.85,1.78,0,0,0,0,2.47,0.66,0,0
108-118,0,0,0.54,0,2.2,0,0.49,20.89,0,0,1.94,8.52,0,0,0,0,3.08,0,0,350.3,0,3.34,0.78,0,0,0,0,3.13,0,1.82,0
120,0,0,0,0,7.71,1.71,0,21.95,0,0,10.39,3,0,4.37,0,0,3.62,0,0,402.58,0,4.59,2.3,0,0,0,0,18.1,0,0,0
