stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.11,728.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.49,453.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,13.13,0,6.98,0,0,23.81,0,0,0,0,23.98,0,0,0,0,0,0,0,0,0,0,353.4,7.9,0,0,71.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.15,0,6.16,0,0,67.18,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,456.55,4.69,0,0,190.69,0,0,3.78,0,17.12,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,0,8.59,2.02,6.42,0,0,3.6,0,0,0,0,0,0,0,0,11.72,0,0,5.1,94.48,1.18,0,0,1.33,0,3.89,0,2.04,2.72,0,14.55,22.22,0,0,1.21,0,0
 24-34,0,0,0,0,4.39,0,24.74,0.63,0,12.76,0.77,0,0,0,3.16,0,0.85,0.94,16.98,0,0,7.7,342.46,3.6,6.43,4.87,0,0.99,13.13,0,0,2.87,0,3.64,88.96,0,0,8.36,0,0
 36-46,0,0,0.85,0,4.49,0,50.62,0,0,14.19,0,0,0,3.17,1.28,0,0,0,19.05,1.78,0,5.54,526.85,0.94,6.19,2.42,0,0,25.99,0,0,0,0,0,104.69,0,0,2.32,0,9.26
 48-58,0,0,0,0,4.23,0,78.17,0,1.52,26.9,0,0,0.66,0,0.49,0.54,0,0,27.18,1.12,3,3.53,359.82,0.49,0,2.19,0,0,6.01,0,0,0.43,0,0,74.92,0,0,2.72,0,0
 60-70,0,0,0,0,0.87,0,228.11,0,0,32.18,0.63,0,0,0,0,0,3.8,0,30.11,0,2.12,0,446.68,0.66,1.47,0.91,0,0,10.06,0,0,0,0,0,57.19,0,0,0,0,0.91
 72-82,0,0,0,0,7.88,4.75,174.11,2.77,1.11,27.98,0.82,0,2.04,0,0,1.55,7.25,0,36.05,2.41,2.94,7.37,297.1,0,3.11,0.55,0,0,3.66,0,0,0,0,0,41.66,0.87,2.09,5.91,1.27,6.41
 84-94,0,0,0.94,0,6.73,2.56,120.48,0.75,2.3,29.51,4.13,0.91,0,3.18,1.92,1.24,1.46,0,30.07,0,6.48,7.81,241.17,0.61,1.95,2.1,0,1.75,8.8,0,0,3.03,0,0,16.69,0.97,2.13,4.38,1.09,0
 96-106,0,0,0.9,0,3.98,3.39,93.61,0.71,0,39.42,2.04,0,0,4.1,1.36,1.68,4.19,0,21.98,3.38,0.79,0,195.26,0,2.94,0.65,0,3.14,13.23,0,0,0,0,0,5.97,0,0,4.12,0,0
108-118,0,0,1.21,0,4.4,1.37,94.48,3.69,1.35,30.47,3.42,0,0,0,0.42,1.08,3.32,0.76,29.4,2.9,3.33,6.53,251.86,0.67,1.81,2.98,0,0,11.38,0,0,1.69,0.86,0,6,3.54,0,3.63,1.48,10.16
120,0,0,0,0,14.09,1.1,110.24,0,5.01,47.63,2.52,0,14.97,4.71,0,0,0,0,10.28,5.12,0,3.69,340.64,0,1.99,8.87,0,0,15.94,0,0,0,0,0,0,3.76,0,1.54,5.89,0
