stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.35,149.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0
  5-6,22.32,317.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.11,0,0,0,0,0,0,0,0,0,0
  7-9,4.49,15.29,29.68,0,0,43.99,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0,258.18,3.27,0,0,107.9,6.26,4.25,0,0,0,0,0,0,0,0,0
 10-12,0,8.35,12.46,0,0,40.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.16,0,0,0,170.55,29.94,11.92,0,7.02,0,0,0,0,0,0,0
 14-21,0,0,0,240.09,0,6.22,0,0,0,0,0.85,0,0,0,0,0,0,2.06,1.84,0,0.9,200.96,0,0,0,0.81,32.64,0,7.7,0,5.83,13.98,0,0,0,0,0
 24-34,0,0,0,21.21,0,0.8,0,0,0,0,0,0,0,0.77,0,0,0,2.82,0,0,0,148.39,0.6,0,0,0,203.78,0,0,0,0,11.28,0,0,1.85,0,0
 36-46,0,0,0,0,0,13.05,0,1.3,0,0,0.61,0,4.71,0.56,0,0,1.89,1.33,1.35,0.7,0,46.83,0.66,0,0,0,235.16,0,0,0,0,5.93,0,0,0,0,0.67
 48-58,0,0,0,4.45,0,7.44,0,0.43,0,1.46,0,0,4.82,0,0,0,0,3.59,1.11,0.46,0,35.53,0,0.4,0.68,0,111.12,0,0,0,0,5.06,0,0,0,0,0
 60-70,0,0,0,4.62,0,2.64,0,1.72,0,2.87,0,0,0,0,0,0.66,0,2.23,0,0,0,22.83,0,0,0,0,117.47,0,0,0,0,3.02,0,0,0,0,0
 72-82,0,0,0,8.88,0,5.9,0,0,0.56,13.34,0,0,2.57,2.57,0,0,0,6.02,0.73,0,0.49,48.75,0,0,2.99,0,102.24,0,0,0,0,2.79,0,1.78,0,0,0
 84-94,0,0,0,13.16,0,0.96,0,0.57,0,0,0,0,0,3.8,0,0,0,23.13,0.75,10.59,0.55,65.25,0,0.8,0,0,235.23,0,0,0,0,2.45,0,0,0,0,0
 96-106,0,0,0,19.58,0,0,0.71,1.26,0.75,0,2.62,0,0,3.35,0,0,0,6.6,0.78,2.18,0,72.05,0,1.76,0.73,0,228.16,0,0,0,0,0,0.83,0,0,3.9,0
108-118,0,0,0,19.45,1.93,6.53,0.45,1.96,0,0,1.08,0,0,3.18,0,0.51,0,19.18,2.64,10.73,0,112.02,0,0,0,0,163.12,0,0,0,0,0.94,0,0,0,0.71,0
120,0,0,0,29.76,0,1.29,0,5.67,0,8.93,0,0,0,0,1.18,0,0,14.73,1.31,0,0,19.86,0,0,0,0,105.28,0,0,0,0,0,0,0,6.49,5.26,0
