stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.9,151.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.01,133.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0.96,29.26,4.83,0,0,0,0,0,0,0,0,0,0,46.42,0,0,55.45,30.76,2.2,0,0,3.05,0,5.46,0,4,29.71,15.68,0,0,0,0,0
 24-34,0,0,0.63,143.64,0,5.71,8.78,0.61,0,0,0.69,0,1.1,0,0,178.94,0,0,93.34,54.09,6.51,1.96,0,0,0,23.63,1.06,0,1.87,32.92,0,0,6.13,0,0
 36-46,0,0,0,73.85,0,4.7,11.57,2.32,0,0.59,1.25,0,0,0,0,222.58,0,0,35.21,83.98,14.05,0,0.59,0,0,14.77,0,0,0,5.51,0,0,0,0,1.43
 48-58,0,0,0,62.25,0,11.69,11.11,28.84,3.32,0.91,1.23,0,0,0,0,244.69,0,5.16,34.13,14.98,11.98,0,0,0,0,14.47,0,0,0,5.09,0,0,0.48,0,1.87
 60-70,0,0,0,86.66,0,16.64,17.81,12.42,0.74,2.19,0.66,0,0,0,0,331.25,1.46,0,19.04,28.54,2.2,0,0.81,0,0,17.57,0,0,0,8.7,0,0.79,1.15,0.81,0
 72-82,0,0,0,39.12,0,6.56,8.44,24.01,4.07,0.67,6.8,0.5,0,0,0,379.01,0.73,4.66,35.19,33.7,0,0,0,0,2.23,2.22,0,0,0,2.12,0,1.39,4.2,0.99,0
 84-94,0,0,0,93.76,2.48,18.03,37.87,13.92,0.75,5.01,1.74,1.27,0,0,1.13,262.82,0.57,0,35.79,19.41,0,0,0,0,0.6,10.85,0,0,0,2.68,0,8.03,1.58,0,0
 96-106,0,0,0,75.35,7.47,12.93,8.02,14.31,4.45,4.95,4.87,0.78,0,0,0,221.99,4.36,1.24,7.59,7.77,0,2.09,2.07,0,0.81,19.33,0,0,0,1.78,2.08,1.32,1.33,6.1,0
108-118,0,0,0,75.03,0,15.89,11.35,5.47,0,6.28,1.84,0.42,1.24,0,3.43,191.82,1.3,1.98,10.12,15.36,1.93,0,2.21,0,7.73,0.5,0,0,0,0,0,5.4,1.32,0,0
120,0,0,0,70.59,0,7.86,2.39,0,0,4.71,4.09,0,0,2.12,0,193.46,1.56,14.74,9.09,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
