stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.72,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,27.24,0,70.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,66.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.25,0,0,0,41.11,0,28.75,4.64,0,0,0,0,0,0,0,0
 14-21,0,14.66,0.87,1.88,3.92,0,0.97,0,0,0,0,6.21,0,0.82,0,0,0.97,0,0,0,0,21.39,3.29,0,0,0.99,0,34.16,0,0,0,19.16,0,0,0,0,0
 24-34,0,2.86,0,0,0.62,0,0.74,0,0,0,0,8.42,0,2.33,0,0,0,0,0,0,0,166.37,0.69,3.98,1.16,0,0,5.03,0,0,0.69,44.2,0,0,2.68,0,0
 36-46,0,0.77,0,0.94,0,0,4.91,0,0,9.99,0,3.14,0,0,0,0,0,0,0.91,0,0.85,614.49,0,3.96,0,0,0,7.3,0,0,0,109.77,0,0,5.98,0,0
 48-58,0,0.46,0,4.39,0,0,59.51,0,0.4,32.48,0,0.51,0,0,0,0.69,0,6.22,6.67,0.42,0.68,868.85,1,2.09,0.44,0,0,0.41,0,0,0,158.43,0,0,1.3,0,8.4
 60-70,0,0,0,0,0,0,167.65,4.19,0,35.1,1.64,1.17,0,0,0,0,0,0,3.63,0,0,1249.4,0,0,0.89,0,0,9.31,0,0,0,204.41,0.61,0,0.58,0,0
 72-82,0,1.93,0,2.16,9.1,0,168.08,1.52,0,27.07,5.97,0,1.5,0,0,0,0,0,31.8,1.08,10.02,1141.15,0,0,1.41,0,0,2.94,0,0,0,138.39,0,0.85,7.76,0,0
 84-94,0,3.33,0,7.28,0,0,132.45,16.8,0,21.24,2.73,0,0,0,9.59,0,0,0,12.71,0,0,667.91,0,3.42,0,0,0.57,6.54,0,0.96,0,77.58,1.34,0,3.63,0,0
 96-106,0,1.08,0,1.59,2.78,0,131.84,1.98,0,27.47,1.61,0.61,0,0,0,0,11.55,0,41.55,0,0.97,607.84,0,0,1.68,0,4.17,4.52,0,0,0,42.75,1.88,8.33,13.91,1.08,0
108-118,0,0,0,6.4,1.94,2.24,120,1.37,0,38.19,2.33,4.69,1.95,0,0,0,4.47,0,21,0,0.94,831.99,0.69,0.53,0.89,0,0,1.32,0,0.55,0,17.92,2.04,0,3.74,0,0
120,0,0,0,5.63,0,0,224.68,0,0,75.52,0,8.3,0,0,0,0,0,0,38.52,4.59,1.12,1092.27,0,0,0,0,0,4.44,0,0,0,33.64,0,0,7.41,0,0
