stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,21.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,0,0,0,8.5,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,40.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,29.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,105.75,10.49,1.55,0,0,0,0,6.49,0,0,4.38,102.65,0,0,0,0,0
 24-34,0,0,5.91,0.79,0,0,11.74,0,0,0,0.69,0,0,1.21,2.63,0,0,0,0,0,2.32,0,0,0,912.66,11.39,11.01,0,0,0,1.08,0,1.4,0,0,344.44,0,0,0,0,9.38
 36-46,0,0,3.45,12.4,0,0,35.73,0,0,0.57,3.68,0,0,0,0,0.61,0,1.61,2.96,0,5.93,0,0.63,0,2253.79,9.86,16.7,0,0,0,27.25,0,0,0,0,647.45,0,0,2.52,0,0
 48-58,0,0,4.95,2.8,1.48,0,157.96,1.02,0,0,16.28,0,0,1.09,0,0,2.49,0,0,7.45,7.09,0.79,0.52,0.86,3729.09,9.27,9,1.62,0,0,0,0,0,0.55,0,539.39,0,0,0,0,5.86
 60-70,0,0,0,4.24,0.72,0,813,0.68,0,0,32.18,0,0,0,0,0,0,0,0,0,21.48,3.03,0,3.63,5023.72,10.79,13.12,0.95,0,0,10.54,0,0,0,0,573.42,0,0.79,2.38,0,3.86
 72-82,0,0,3.82,12.12,8.01,0,1314.89,0,0,0,104.81,3.17,0,0,0.5,0.5,0,0,3.49,3.9,41.35,0,13.47,0.71,5476.17,4.35,20.41,0,0,0,0,0,0,0,0,273.5,0,1.99,1.17,4.5,6.42
 84-94,0,0,4.05,14.56,1.3,0,847.65,0,0,0,80.31,2.04,0,0,3.71,0,0,0,0,0,69.75,0,13.27,1.49,3065.4,0.65,17.06,0.75,0,0,0.57,0,0,0,0,139.82,4.25,2.16,2.74,6.53,0
 96-106,0,0,1.37,14.23,0,0,685.87,0,5.04,0,92.83,11.44,0,0,3.69,0,0.66,0,0,0,30.54,0,21.4,0,3164.99,0.7,21.6,1.14,0,0,7.23,0,0,0.85,0,77.12,2.35,0,4.17,11.47,0
108-118,0,0,0.57,19.3,1.76,2.97,764.79,0,0,0,114.07,1.95,0,0,0.82,1.01,2.47,0.82,0.56,0.66,39.07,0,11.11,0.92,3148.07,4.31,13.29,0.87,0,2.26,2.02,0,0,0,0,73.49,1.77,1.75,0.99,1.09,0
120,0,0,0,42.36,2.68,15.59,536.39,0,0,0,150.3,0,0,0,0,2.21,0,0,1.23,0,34.23,1.65,21.85,3.15,4378.6,0,29.78,2.56,0,0,0,0,6.97,0,0,169.89,0,0,14.01,7.37,0
