stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,264.68,4560.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.81,0,0,0,0,0,0,0,0,0,0,0
  5-6,220.94,4434.99,0,8.02,0,0,0,0,0,0,0,0,0,77.72,0,0,0,0,0,0,0,0,0,0,149.07,71.58,0,0,22.17,116.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.16,44.9,0,73.77,0,0,0,128.11,0,0,0,0,0,65.03,0,0,0,0,0,0,0,0,0,0,1502.74,68.01,0,0,382.53,3.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.72,0,29.21,0,0,0,83.35,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,534.07,13.93,0,0,119.82,0,16.22,0,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,0,5.48,12.4,0,8.09,0,0,0,2.18,0.91,0,0.92,0,0,0,0,0,3.52,0,0,2.54,67.13,0.81,0,0,0,0.98,0,12.82,0.87,1.03,4.52,20.41,0,0,0,0,0.84
 24-34,0,0,0,0,3.7,0,0,15.15,0,0,0,3.48,0,0,0,0,1.09,0,0.68,0.62,9.6,0,0,5.03,220.06,1.27,0,0.6,0,0,0,0,2.3,0,0.64,56.6,0,0,3.99,0,0
 36-46,0,0,0,0,4.36,0,0,28.23,0,2.12,0,7,0,0,0,0,0,0,0.59,0,5.35,0,0,0,247.1,0,0.94,1.21,0,3.85,0,0,0,0,0,53.18,0,0,0.72,0,0
 48-58,1.15,0,0,0,4.12,0,0,49.97,0,0,0,16.39,0,0,0.4,0.53,0,0,0,0.54,13.27,0,0,1.97,244.42,0,0.47,0.46,0,0,0,0,0,0,0,59.43,0,0,2.58,0,7.38
 60-70,0,0,0,0,0.91,0.67,0,53.42,0,0,0,25.38,0,0,0,0,0.71,0,0,2.31,11.41,0,10.58,2.44,238.56,0,1.72,0,0,3.53,0,0,0.62,0,0,26.37,0,0,0,0,0
 72-82,0,0,0.5,0,9.74,4.82,0,66.07,0,1.28,2.35,31.76,4.74,0,3.22,0,0,0.79,0,0,22.82,0,0.93,0.5,301.94,0,1.19,0,0,3.69,0,0,0,0,0,28.62,0,1.72,3.56,1.6,0
 84-94,0,0,0,0,5.48,0.76,0,109.01,0,0,0,11.1,0,0,0,1.03,0,0,0,0,37.92,0,1.89,0.82,210.23,0,1.64,0,0,5.02,0,0,0,0,0,16.34,0,0,5.55,4.53,0
 96-106,0,0,0,0,4.41,25.49,0,48.25,0,0,0,11.57,0.77,0,0.71,0.62,0,2.1,8.31,0,22.79,3.69,4.02,0.77,173.79,0,2.35,2.25,0,4.89,0,0,0,0,0,6.3,0,0,0,2.29,0
108-118,0,0,0,0,8.85,11.16,3.9,47.84,0,0,0.72,4.83,0.97,0,0.78,0,0,0,1.51,2.88,16.36,0,0,3.58,285.7,0,0,0.43,0,4.06,0.79,0,0,0,0,0,0.71,0,0,0.7,0
120,1.19,0,0,0,21.89,42.25,0,118.5,2.44,0,0,13.1,0,0,1.85,4.03,0,0,0,0,35.1,0,0,4.75,553.72,0,0,4.54,0,8.74,0,0,0,0,0,34.62,0,0,0,12.22,0
