stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,17.84,166.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,131,10.71,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.41,5.43,0,0,15.87,0,146.5,4.99,0,9.62,0,0,0,0
 10-12,0,14.71,13.43,0,8.31,16.59,0,177.75,6.95,0,45.28,0,26.66,0,0
 14-21,0,0,0,0.82,0,0,0,2.53,0.82,0,0,0,0,0.85,0
 24-34,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,1.96
 36-46,0,0,0,0,0,0,1.07,2.14,0,0,0,1.46,0,0,0.81
 48-58,0,0,0,0,0,1.29,0,5.06,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.4,0,0.75,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.85,2.07,7.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5,0.92,0,0,0.41,0,0,0,0,0
