stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,7.97,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,0,0.97,0,0,2.21,0,1.04,5.9,0,0,0,31.16,0,0
 24-34,0,0,0,0,0.83,0,0,0,0,0.87,0,0,0,3.73,0,0.62,34.38,0,0,0.84,43.78,0,3.37
 36-46,0,0,0,0,2.32,0,0,0,0,0,0,0,0,8.97,0,0.75,37.81,0,0,0,109.64,0,0
 48-58,0,0,0,0,0,6.59,0,0,0,2.17,0,0,0,4.86,0,7.31,81.65,0,0,4.33,98.32,0,1.8
 60-70,0,0,1.73,2.57,0,39.83,0,0,0,0,0,0,0,16.14,0,3.7,208.36,1.51,0,0,108.39,0.73,0
 72-82,0,0,2.48,6.18,5.39,14.4,0.5,0,0,1.01,1.79,0,0,28.56,0.56,3.89,164.37,0,0,0,54.1,0,0
 84-94,0,0,5,22.36,0,19.23,1.29,0,3.75,2.39,1.61,0,0,16.53,0,2.52,95.91,0,0,0,17.95,0,0
 96-106,0,0,2.78,2.24,0,19.53,0,0,0,10.13,0,0,0.86,19.94,0,3.43,65.23,0.59,2.76,0,5.64,0,0
108-118,0,0,0,1.16,0,7.56,0.46,0.51,0,6.92,1.36,3.6,0,12.17,0,5,57.99,0.66,0,0,10.54,0,0
120,0,0,11.35,7.77,0,26.9,6.51,0,0,1.79,0,0,0,10.97,0,0,173.54,0,0,0,35.8,0,0
