stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0
  5-6,18.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,5.33,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.36,0,15.21,0,48.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.81,0,0,0,28.39,0,0,0,0,0,0,5.73,0,0,0,0,0
 14-21,0,0,28.39,21.16,2.89,0,18.55,0,0,0,0.93,0.82,1.3,0,0,0,0,0,11.45,0,8.68,334.57,0,0,6.08,1.46,0,0.96,0,4.17,1.14,1.95,18.66,128.38,0,0,0,0
 24-34,0,1.6,22,10.96,0,0,14.2,0,0,0,3.89,6.13,1.42,0,0,0.86,3.72,0,17.2,0,0.78,430.81,0,13.03,1.34,0,0,1.25,0,0,5.21,0.88,3.7,173.59,0,0,1.68,0
 36-46,0,3.28,1.88,0,0,0,9.88,0,0.62,0,8.93,1.96,10.92,0,0,0,6.32,0,14.82,0,2.32,438.29,0,21.37,0.83,0,0,0,0.81,0,0.67,0,0,158.92,0,0,0,0
 48-58,0,0.4,0.72,0.73,0,0,34.03,0,0,0,12.97,1.22,11.48,0,0,0,1.43,1.78,11.99,0,0.91,546.16,0,9.56,0,0,0,0,0,0,1.9,0,0,103.16,0,0.85,1.29,0
 60-70,0,1.74,0,0,0,0,88.04,0,1.75,1.37,19.34,1.22,0,1.92,0,0,1.93,6.98,24.57,0,0.59,720.91,0,9.61,2.12,0,0,0,0,0,0,0,0,82.83,0,0,1.59,1.91
 72-82,0,2.56,0,14.49,0.73,0,460.95,0,0,1.71,25.99,3.07,1.24,0,0,0.79,0,0,43.39,0,2.22,936.92,0,12.93,2.03,0,0,0,0,0,0,0,0,61.73,1.6,0,3.68,0.57
 84-94,0,4.68,0,1.43,3.92,0,295.72,0,2.79,6.84,35.5,5.46,3.35,1.19,0,0,1.53,0,38.38,10.95,9.48,596.41,0,9.67,4.33,0,0,2.48,0,0,0,0,0,23.37,1.99,0,2,3.97
 96-106,0,3.32,0,13.13,5.76,9.83,516.51,0.86,4.56,0.57,32.52,7.25,0.66,2.26,0,0.61,8.78,0,43.52,3.22,1.55,584.27,0,35.16,2.39,0,1.36,1.64,0,0,0,0,0,33.13,8.9,0,0,15.6
108-118,0,3.18,0,9.93,0,0,574.99,1.52,2.53,2.14,25.02,2.59,6.91,0.62,1.01,0.42,1.44,0,31.62,0,0,557.97,0.54,20.11,2.83,0,0,3.94,0,0,0,0,0,17.92,20.41,0,8.8,3.33
120,0,0,0,7.44,0,0,352.68,0,1.31,0,31.02,20.76,0,5.69,0,0,0,0,13.03,0,2.12,1060.63,3.31,24.11,0,0,4.22,1.41,0,0,1.22,0,0,35.32,6.15,0,0,9.62
