stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,57.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0
  5-6,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0
  7-9,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,3.29,0,0,0,0,0,0
 10-12,0,4.58,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,14.53,0,0,0,9.96,5.41,0,0,0,0,0,0
 14-21,0,0,14.28,0,1.77,0,0,0,0,0,0,0,0,0,1.11,0,1.25,17.93,24.76,0,0,0,0,1.93,0,5.17,0,0,0
 24-34,0,0,8.36,0,3.07,0,0,0,1.62,0,0.69,0,2.19,1.98,19.32,0,19.79,83.24,8.09,2.76,1.6,0,1.21,0,0,3.02,0,5.14,0
 36-46,0,0,17.23,0,1.4,0,0,0,1.1,0,0,0,0.89,0,46.49,0,7,87.39,1.24,0,1.81,0,2.28,0,0,1.82,0,0,0
 48-58,0,0,4.4,0,10.52,0.7,0,0.4,1.22,0,0,0,1.9,1.95,58.11,0,8.81,70.88,4.75,0,2.89,0,0,0,0,3.87,0,0,1.69
 60-70,0,0,1.06,0,3.79,0,0,0,1.94,0,0,0,1.77,5.5,74.05,0,3.22,28.8,0,0,3.83,0,0,0,0,1.47,0,1.15,7.24
 72-82,0,0,0,0.95,3.41,1.33,0,0,1.4,1.93,0,0.76,4.31,0,134.62,5.41,3.71,34.58,0,0,6.75,0,0,0,0.53,0,2.31,0,7.02
 84-94,0,0,1.98,2.94,6,0.79,0.6,0,3.81,0,0,0.67,0.61,0,105.41,3.38,2.12,16.33,0.94,0.76,6.43,0,0,0,0,0,0,0.95,0
 96-106,0,0,0,0,6.92,0,0,0.6,5.22,3.78,0,0,5.05,1.15,97.99,2.17,4,14.13,0,0,9.05,0,0,0,0,0,1.26,0,7.49
108-118,0,0,0.99,0,4.79,0,0,1.27,1.75,1.41,0,0,2.5,2.88,109.96,0,5.34,38.79,0,0.57,7.06,0,0,0,0,0,1,0,2.49
120,1.12,0,0,0,0,0,0,0,10.01,12.04,0,0,0,0,43.88,0,0,10.65,0,0,5.61,0,0,0,0,0,0,0,0
