stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,823.42,15466.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781.29,0,0,0,0,0,0,0
  5-6,1336.19,14582.34,57.33,0,0,0,0,0,0,0,223.7,0,0,0,0,0,0,0,0,0,584.23,128.42,0,0,163.97,137.59,0,0,0,0,0,0,0
  7-9,421.38,230.6,550.25,0,0,560.6,0,0,0,0,357.66,0,0,0,0,0,0,0,0,0,6449.67,237.23,0,0,2386.99,3.63,28.01,0,0,0,0,0,0
 10-12,0,142.69,269.12,0,60.41,333.24,0,0,0,0,59.59,0,0,0,0,0,0,0,0,0,4143.82,91.48,0,0,1488.49,0,8.5,11.74,246.33,9.79,0,0,0
 14-21,0,0,2.56,15.63,1.97,4.19,0,0,2.33,0,0,0,0,0,0,0,0,14.47,0,14.12,200.05,0,0,0,4.58,1.88,0,39.65,1.01,5.66,44.56,0,0
 24-34,0,0,0,7.06,4.72,36.07,0,0,6.21,1.19,0,0,0.69,0,0,0.69,1.94,32.83,2.21,11.26,441.88,0,2.33,2.88,0,9.72,0,1.03,0,2.79,85.11,9.6,0
 36-46,0,0,0,0,2.64,70.72,0,0,5.63,0,0,0,1.9,0,0,0,0,26.41,0,4.06,256.75,0,2.01,2.64,0,6.86,0,0,0.62,0,58.83,2.35,1.54
 48-58,0,0,0,7.33,0.84,131.77,0,0,5.99,0.39,0,0,0,0.43,0,0,0,29.72,5.61,1.41,114.6,0,0.43,0,0,3.78,0,0,0,0,14.82,5.26,1.57
 60-70,0,0,0,4.25,2.92,83.4,0,2.02,11.71,0,0,0,0,0.81,2.05,1.06,0,39.39,0.98,0.98,89.26,0,0,0.81,0,0.57,0,0,0,0,0,1.99,0
 72-82,0,0,0,5.18,0,24.16,1.74,0,10.29,0,0,1.25,4.23,1.24,0,0,0,17.37,1.12,1.09,36.82,0,0,0,0,1.13,0,0,0,0,0,1.04,0
 84-94,0,0,0,2.68,0,25.6,0,0,3.13,0.72,0,0,0,0,0,0,0,21.2,0,3.27,30.02,0,2.63,0,0,0.66,0,0,0,0,0,2.47,0
 96-106,0,0,0,2.92,0,16.53,0,0,5.71,0.66,0,1.23,0,0,0,0,0,11.77,0,1.16,46.93,0.57,0,0,0,0,0,0,0,0,0,2.75,0
108-118,0,0,0,0.47,1.08,13.13,0,0.6,2.49,0,0,0,2.31,1.45,0,0.78,0,12.24,0.46,0,44.37,0,0,0,0,0,0,0,0.53,0,0,1.93,0
120,0,0,0,2.18,3.37,12.57,0,0,2.81,0,0,0,1.49,0,0,0,0,1.7,0,1.25,48.14,4.62,0,0,0,0,0,0,0,0,0,0,0
