stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,453.46,12644.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749.7,0,0,0,0,0,0,0,0,0,0
  5-6,177.22,1505.45,34.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1,0,0,0,0,2275.3,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,3.21,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.88,3.28,0,0,41.13,301.52,23.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,34.26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.85,0,0,0,26.92,89.99,23.84,0,5.68,0,0,5.09,0,0,0,0
 14-21,0,0,11.33,42,10.68,0,2.13,0,0,0,1.25,4.62,0,0,6.71,0,0,0,0,0.83,1.26,0,0,15.81,0.89,5.23,0,2.16,829.53,1.31,1.76,2.72,0,13.31,7.36,0,3.6,0,0
 24-34,0,0,0.63,11.24,0.81,0,1.48,0,3.38,0,0.72,0.74,6.16,0,6.2,0,2.01,0,0,2.75,7.59,0,0,83.34,0,2.18,1.94,0,1204.5,0,0,0.69,0,0.81,6.55,0,4.89,0,1.78
 36-46,0,0,0,26.43,0,0,7.49,0,4.29,0,0,0,0,0,7.16,0,0,0,0,4.25,4.87,0,0.59,61.86,0,1.33,18.3,0,1454.86,0,0,0,0,0,5.78,0,1.85,0,0
 48-58,0,0,0,18.75,2.29,0,23.57,0,9.97,0,2.22,0,0,0,7.23,0,0,0,0,0.88,14.99,0,1.38,57.86,0,0.86,0.59,0,1016.36,0,0,0.61,0,0,7.98,0,0.75,0,0
 60-70,0,0,0,25.27,0,0,267.12,0,11.53,0,3.19,0,0,0,4.59,0,0.59,0,0,5.09,8.04,0,1.33,34.07,0,1.04,0,0,1014.82,0,0,1.68,0,0,0,1.44,0,0,0
 72-82,0,0,0.75,47.75,5.95,0,740.57,0,12.38,0,2.87,1.78,0,2.47,6.37,0,0,0,0,8.24,7.25,0,0,47.98,0,1.97,0.52,1.13,914.87,0,0,0.64,0,0,7.95,3.84,3.98,1.68,7.13
 84-94,0,0,1,70.38,1.09,0,634.64,8.84,27.16,1.01,2.44,0,0,0,28.98,0,0.65,0,0,3.9,12.5,0,0,33.93,0,3.03,3.82,0,2081.35,0,0,0,0,0,0.94,2.5,2.05,0,0
 96-106,0,0,0,119.09,11.97,0,702.5,0,29.68,0,14.17,6.37,0,2.6,23.37,2.73,1.7,11.83,0,2.54,13.19,4.1,1.44,92.13,0,11.3,3.42,0,1985.91,0,0,0,0.72,0,6.06,2.55,1.45,0,0
108-118,0,0,0.55,116.09,6.66,1.65,709.55,0,47.81,0,1.31,6.71,0,0.64,35.99,0.75,2.18,0.9,7.11,16.23,18.44,0,0,56.04,0,5.7,5.79,0,1638.95,0,0,0,0,0,5.46,2.05,1.55,0,0
120,0,0,0,120.03,1.35,3.13,1127.26,0,38.8,0,8.4,1.33,0,9.06,13.51,0,0,0,0,27.01,9.54,8.33,1.66,30.54,0,0,0,0,930.59,0,0,4.05,0,0,10.72,3.15,1.23,0,0
