stage,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites
  3-4,110.86,0,0,0,0,0,0,20.6,0,0
  5-6,86.92,0,0,0,0,0,15.44,0,0,0
  7-9,6.89,3.59,68.32,5.76,227.62,4.67,83.55,0,0,0
 10-12,5.69,12.4,14.05,0,329.13,26.67,87.16,0,11.08,22.16
