stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,134.81,2921.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.98,8131.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.19,0,0,0,32.59,0,95.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.32,1123.38,49.16,0,0,0,710.18,0,0,0,0,0,29.83,0,0,0,0,0,0,0,0,0,0,0,37046.34,65.46,0,0,7860.41,0,135.73,21.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,1169.21,253.56,0,12.48,0,894.2,0,0,0,0,0,34.78,0,0,0,0,0,0,0,0,0,0,0,35666.62,96.46,0,0,12086.72,0,77.26,17.65,4.75,154.03,0,4.51,28.76,0,0,0,0,0
 14-21,0,0,19.77,10794.48,64.53,0,586.88,0,420.8,0,297.9,48.62,1.02,2.54,0,17.56,31.74,4.77,0,370.71,1178.01,22.81,0,438.56,16413.1,37.19,6.69,59.09,1864.81,0,1624.41,0.91,313.77,40.11,11.58,273.81,9588.83,0,0,5.54,0,119.51
 24-34,0,0,15.41,2566.26,5.67,0,512.84,1.43,1400.46,129.4,747.89,5.85,1.33,41.22,1.48,7.92,9.51,25.69,11.61,731.75,1743.91,29.25,1.21,411.67,13208.03,38.54,17,15.06,0,0,1924.41,0,2.17,4.69,0.76,135.01,3146.55,0,0,30.14,0,240.66
 36-46,0,0,0,795.87,0.91,0,185.72,0,1066.86,378.79,537.54,8.02,0,45.39,3.1,16.19,2.85,30.49,16.36,314.77,2150.37,33.86,7.03,144.07,6091.51,1.62,3.67,10.01,0,0,2137.05,0,0,2.55,0.58,1.5,1502.91,0,0,15.44,0,87.4
 48-58,0,3.88,0,392.41,5.36,0,187.86,1.4,899.94,418.97,503.92,3.05,1.95,13.58,1.86,0.8,0.49,19.59,3.1,185.89,2411.34,14.15,5.33,53.23,2674.79,0.62,2.76,11.89,0,0,1113.55,0,0,0,0.39,0,926.14,0,1.11,11.66,1.4,39.79
 60-70,0.81,0,0,180.23,0.97,0,82.84,0,697.77,448.74,259.9,0.65,0,8.26,0,3.34,5.26,9.52,0,49.33,2229.34,6.63,1.04,22.81,797.45,0,0,7.01,0,1.13,631.04,0,0,0,0,0,188.42,1.65,7.73,5.18,0,43.01
 72-82,0,0,0,125.6,3.22,0,151.2,1.33,453.05,804.14,362.82,10.52,0,1.54,0,0,12.07,29.04,3.43,14.94,2715.15,3.85,5.28,24.57,557.25,0,0,4.83,0,5.98,152.23,0,0,0,0.54,0,68.51,0,25.01,4.41,16.73,52.18
 84-94,0,0,0,309.31,14.18,0,201.2,0,825.35,616.59,352.73,4.38,0,1.52,3.17,0.92,12.53,27.79,0,41.31,2715.37,0.6,3.73,25.69,337.92,1.23,2.32,3.18,0,47.95,505.15,0,0,0,0,0,42.05,1.11,7.83,2.67,10.67,38.95
 96-106,0,0,0,276.8,4.82,3.86,194.22,1.93,732.45,656.6,314.06,3.85,0,8.63,5.91,4.36,20.86,46.02,0,12.2,2676.72,4.49,10.32,21.16,364.48,7.17,7.28,5.22,0,21.52,331.6,0,0,1.02,0,0,26.48,0.63,9.62,13.23,24.55,26.36
108-118,0,0,0,309.29,14.31,0,114.49,0,852.94,504.22,277.8,4.47,0,2.14,3.29,5.24,49.28,24.86,4.8,17.95,2742.93,5.23,1.16,12.12,410.46,0,2.9,32.49,0,12.75,192.27,0,0,1.23,0,0,44.52,1.23,4.5,12.04,36.53,31.63
120,0,0,0,239.97,9.09,0,84.29,0,491.14,407,188.57,15.57,0,6.29,0,0,39.35,25.85,0,13.53,1860.35,1.49,4.7,23.53,345.69,0,3.36,16.13,0,4.76,61.97,0,0,0,6.93,0,10.12,3.62,15.06,6.32,29.64,9.53
