stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,496.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.89,0,0,0,0,0,0,0,0
  5-6,39.59,1199.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0
  7-9,11.1,29.67,0,4.57,0,0,0,53.46,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,519.13,31.96,0,0,213.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.39,0,7.11,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.27,0,0,0,80.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.75,15.3,2.23,0,20.32,0,0,2.52,0,2.86,0,0,0,0,0,0,12.51,0,6.08,169,4.74,0,2.59,2.32,0,6.5,17.48,0,1.71,17.86,70.99,2.84,0,0
 24-34,0,0,0,1.86,5.08,0,0,18.11,0,0,0,1.42,0,0,0,0,0,1.6,0,17.48,0,5.56,192.55,2.49,1.1,1.79,0,0.99,1.46,0,1.45,0,3.85,49.47,18.6,0,3
 36-46,0,0,0,1.96,2.02,0,0,25.42,0,3.57,3.16,0,0,0,0,1.86,10.39,0,0,33.44,0,4.11,205.94,1.32,0.63,5.52,0,0,14.75,0,0.72,0,0,29.23,1.21,0,1.22
 48-58,0,0,0.39,0,6.46,0,0,19.49,0,0.41,6.22,0,0,1.94,0,0,0,0,0.53,16.67,0.69,2.01,102.85,4.53,0.98,2.29,0,0,0,0,0,0,0,16.02,3.06,0,0
 60-70,0,0,0,0,2.37,0,0,26.15,0,0.7,19.38,0,0,0.7,0,0.59,0,0,0,21.39,0,2.69,149.93,0,1.33,0.99,0,0,4.32,0,0,0,0,23.67,5.66,0,0
 72-82,0,0,0,0,4.3,0.74,0,27.03,0.78,0,27.04,0,0,1.5,0,0,0,0,0,25.54,0,0,165.54,0,0,0,0,0.87,0.51,0,0,0,0,11.75,2.26,0,0
 84-94,0,0,1.05,0,1.52,1.15,0,24.03,0.62,0,22.53,2.34,0,0,0,0,10.92,0,0,18.49,19.5,0,125.61,4.43,0,0,0,0,6.12,0,0,0,0,16.03,4.43,0,0
 96-106,0,0,0,0,6.92,0,0,14.48,0,0,13.08,0,0,0,0,0,0,0,0,13.75,1.85,0,65.55,0,0,0,0,0,3.05,0,0,0,0,0.68,0,0,0
108-118,0,0,0,0.74,4.59,0,2.73,23.22,1.3,0,30.99,0,0,0,0,0.47,0,2.84,0,17.31,2,3.84,176.44,0,0.6,2.03,0,0,1.8,0,0,0.57,0,5.78,1.05,2.52,2.17
120,0,0,0,0,2.04,0,0,35.83,2.55,2.83,55.5,0,0,0,5.87,0,0,2.12,0,12.78,0,2.96,195.09,0,0,0,0,0,7.55,0,0,0,0,11.59,0,0,0
