stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,7.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,25.17,3.16,0,7.35,0,0,0,0,0,0,0
 14-21,0,0,7.06,0,0,0,0,0,0,0,0,0,0,2.47,1.05,0.83,0,0,0,0,137.37,73.29,1.25,0,0
 24-34,0,0,6.51,0,1.27,167.52,0,0.79,1.4,0,1.8,0,1.97,6.55,87.19,2.34,1.92,0,0,9.85,135.82,126.79,15.2,1.45,0
 36-46,0,0,2.09,0,0.75,140.08,0,0,0,0,0,0,1.16,4.19,22.25,3.61,0,0,0,0,55.46,2.76,5.31,5.17,2.23
 48-58,0,0,0,0,8.04,46.89,0,0,0.61,0,0,0,2.28,2.11,23.64,0,0,0,0,0.42,19.25,0,4.9,0,0
 60-70,0,0,0,0,6.32,30.22,0,0,0.65,0,0,0,1.54,8.13,14.64,0,0,0,0,0,1.25,0,1.05,0,0
 72-82,0,0,0,0,3.9,48.81,0,0,3.41,0,0,0,0,1.68,13.46,1.39,0,0,0,4.27,0,0,2.38,0,0
 84-94,0,0,0,5.27,4.82,58.98,0,0,0,1,0,0,2.78,10.14,15.05,0,0.79,0,0,9.02,1.45,0,0,0,0
 96-106,0,0,1.2,0,16.27,91.65,0.61,0,2.71,0,0,1.91,0.95,5.57,11.24,0,0,1.2,0,6.78,1.28,0,0,0,0
108-118,0,0,0.55,0,11.71,45.17,0,0,0,0,0,0,1.92,2.6,9.91,0,0,0,4.08,9.2,0.52,0,7.71,0,0
120,0,0,2.24,0,0,37.41,0,0,0,0,0,0,17.36,5.56,0,0,0,0,0,0,1.32,0,0,0,0
