stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,36.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,31.27,9.01,0,0,4.4,0,0,0,0,0
 10-12,3.1,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,70.13,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0.86,0,0,0.95,0,0,0,0,0,0,0,0,0,20.4,2.71,0,0,0,1.99,5.38,6.15,0,0
 24-34,0,0,1.61,0,2.54,0,0,0,0.67,0,2.95,0,0,2.61,0.67,0,0,10.81,0,0,3.88,0,13.28,8.54,5.87,0,2.93
 36-46,0,0,0,17.02,10.68,0,5.44,0.76,0,0,0,0,0,0,0,0,0.6,2.84,0,0,1.46,0,17.01,0.88,0,0,0
 48-58,0,0,4.41,0,7.15,0.53,4.35,0,2.39,0,4.82,0,0,4.98,0,0,0.76,23.61,0,0,13.48,0,17.41,1.96,1.2,0,0
 60-70,0,0,4.13,0,20.13,0.65,0,10.66,0,0,15.14,0,0,5.98,0,0,0,10.85,0,0,9.86,0,14.64,10.22,0,0,6.19
 72-82,0,0,1.83,0,14.47,1.61,0,27.71,1.23,0,2.74,0,0,1.59,0,0,2.31,23.71,0,1.28,28.82,0,5.52,11.31,1.37,0,0
 84-94,0,1.26,1.18,0,33.5,0,0,24.69,0.58,0,0.71,1.03,0,6.71,0,1.36,0,11.17,0,0,49.51,0,1.58,18.71,0,0,0
 96-106,0,0,0.58,1.02,20.94,8.17,0,27.76,1.54,0,1.52,0,0.57,1.41,0,0,0,39.52,0,0,84.7,0,1.87,9.51,0,0.83,0
108-118,0,0.55,5.75,0,19.89,0,0.52,35.56,0,0,1.37,0,0.87,12.3,0,0,0.8,36.67,0,0,66.18,0,0,11.15,0,0.68,0
120,0,0,6.29,0,17.44,0,1.42,50.36,5.26,0,11.64,0,0,14.96,0,0,0,95.29,0,0,70.87,0,1.92,5.47,0,0,0
