stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.97,0,0,0,0,0,0,0,0,0
  7-9,4.37,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,3.53,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.22,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.75,13.63,0,0,14.75,0,0,0,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,1.03,11.57,1.61,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,3.36,24.43,4.28,0,0,1.53,0,9.69,5.32,0.84,3.99,13.35,0,0,4.71,0,0
 24-34,0,0,0,0.59,5.88,0,0,10.13,3.35,0.74,6.4,1.22,0,0,6.26,0,0,0.95,0,15.48,0,0,8.49,99.18,1.15,1.58,0,0,0,23.5,0,0,1.06,12.26,0,0,22.41,0,2.64
 36-46,0,0,0,0,9.35,0,0,30.39,0,0.72,17.76,0,0,0,0,11.79,0.72,0,0.66,13.51,0,0,6.53,117.97,0,3.24,0.61,0,0,54.7,0,0,0.69,20.07,0,0,3.41,0,0
 48-58,0,0,0,0,1.31,4.71,0,36.51,0,0.4,19.56,0,0,8.34,12.65,7.78,0,0,0.51,20.16,3.59,0.84,2.08,88.15,3.5,0.47,0.7,0,0.4,14.73,0,0,0,11.09,0,0,2.23,0,0
 60-70,0,0,0,0,13.97,1.91,0,99.19,2.88,1.03,5.88,0.61,0,5.48,1.1,0,0,0,0,26.01,3.51,0,0.82,124.99,0,0,0,0,0,25.78,0,0,0,8.78,0.77,0,2.69,0,3.99
 72-82,0,0,0,0,3.59,5.39,0,98.76,6.38,0,20.75,2.88,0,0.55,0.79,2.54,0,0,1.69,34.44,1.67,0,0.99,80.14,0.88,2.12,4.66,0,0,13.43,0,0,0,1.4,0,0,2.77,1.28,0.63
 84-94,0,0,0,0,3.8,6.44,0,42.83,0,0,11.92,0.94,0,4.01,0.73,1.97,0,0,0,21.83,0,0,0.75,75.43,0.76,0,1.2,0,0,35.61,0,0,0,13.46,0,0,2.76,0,0
 96-106,0,0,1.28,0,7.06,14.81,4.27,59.81,0.56,0,12.51,1.03,1.8,6.82,5.42,0.67,0,0,0,16.81,7.99,0,8.96,62.17,1.25,6.42,0.62,0,2.91,26.11,0,0,0,6.59,0,0,11.58,0,0.63
108-118,0,0,0,0,20.21,3.47,0,66.63,3.69,0,15.97,2.54,0,3.24,2.46,5.05,0,1.69,0,11.91,0,0.97,2.35,76.2,0,2.06,3.12,0,0,34.79,0,0,0,1.43,1.29,0,3.8,0,0
120,0,0,3.29,0,18.1,30.02,0,52.44,7.1,0,63.18,11.8,0,8.57,9.54,0,0,1.47,0,9.38,0,0,3.01,105.46,0,14.1,0,0,1.79,29.96,0,2.6,0,0,0,1.95,1.78,0,0
