stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,183.3,2230.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.93,0,0,0,0,0
  5-6,102.1,1796.91,0,10.71,0,0,0,0,0,22.43,0,0,0,36.09,11.17,0,0,32.02,45.97,0,0,0,0,0
  7-9,16.77,18.99,0,14.9,0,0,38.02,0,0,16.41,0,0,0,461.54,17.71,0,0,182.39,0,12.89,0,0,0,0
 10-12,0,12.12,0,16.42,0,0,39.53,0,0,0,0,0,0,256.35,7.78,0,0,153.04,0,3.78,0,23.38,0,0
 14-21,0,0,0,1.93,3.95,2.2,3.89,0,0,0,0,6.64,0,27.34,0,0,3.31,0,3.85,0,2.06,0,5.25,0
 24-34,0,0,0,1.44,1.51,1.39,2.27,0,0,0,0.93,0.95,0,4.27,0.6,1.36,0,0,1.05,0,0,0,1.53,0.85
 36-46,0,0,0.95,0,0,0,0.68,0,0,0,0,0,0,2.79,0,0.78,0.65,0,0,0,0,0,0.78,0
 48-58,0,0,0,0,0,0,0.53,0,0,0,0,0,0.53,5.29,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0.71,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.18,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.64,0
 84-94,0,0,0,0,0.75,0,1.41,0,1.75,0,0,0,0,4.07,0,0,0,0,0,0,0,0,2.82,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0.77,6.82,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.75,2.17,0,0.92,0,0.98,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,9.58,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0
