stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,35.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0
  5-6,25.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,5.33,0,0,0,0,0,0
 10-12,0,0,0,3.19,0,0,0,0,0,0,54.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,10.01,12.35,0,0,0,0,0.94,15.31,0,0,0
 24-34,0,0,0,1.6,0,0,0,0,0,1.06,159.21,0,0.73,0,0,0,0,35.85,0,0,6.33
 36-46,0,5.73,0,6.73,0,0,0,0,0,2.14,323.01,0.61,0,0,0,0,0,93.64,0,0,0.88
 48-58,0,0.81,0,17.73,0,1.74,0,0,0,2.64,561.64,2,0,0,0,0,0,68.79,0,0,0
 60-70,0,0,0,62.48,0,11.46,0,0,0,4.36,688.64,0,0,0,0,0,0,82.12,0,0,2.56
 72-82,0,4.25,0.55,85.43,3.67,2.09,0,0,0,4.65,845.3,1.92,0,0.67,0,0,0,65.1,0,0,0
 84-94,0,5.61,0,77.64,0,8.94,0,0,0,0,530.06,0,1.39,7.38,0,0,0,27.72,0,0,1.1
 96-106,0,0,0,36.09,0.62,0.8,0,0.75,1.17,8.15,425.15,2.3,0,0,0,0,0,21.38,0,0,0
108-118,0,3.61,0,49.76,0,2.59,1.02,0,0,2.91,484.69,0,0.96,0,0,0,0,20.38,4.38,2.08,1.1
120,0,0,0,49.53,0,1.08,1.31,0,0,9.57,608.65,6.22,0,0,0,0,0,3.82,0,0,0
