stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,0,0,0,17.52,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,4.4,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,730.4,0,0,0,0,0,3.85,1.23,0,0,0,3.45,0,0,5.45,0.84,0,0,0,0,0
 24-34,0,0,0,9.1,3.01,0,0,1.59,0,0,0,0,7.38,0,0,0,0,0,0,1016.96,0,3.53,0,0,3.87,34.13,0,0,0,0,1.19,0,0,0,6.02,0,0,0.6,0,0
 36-46,0,0,0,0,4.55,0,0,2.44,0,0,0,0,9.69,0,0,0,0.57,0,0,647.92,9.74,3.42,0,0,0,14.11,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0
 48-58,0,0,0,0,0.67,0,0,5.11,0,0.52,0,1.42,10.85,0,0,0,0,0,0,470.69,0,1.48,0,0,0,42.38,0,0,0,0,0,1.65,0,0,2.95,0,0,0,0,0
 60-70,0,0,0,0,7.41,1.55,0,35.33,0,0,0,1.64,7.83,0,0,0,0,0.95,0,1054.53,0,3.85,0,0,0.84,38.13,0,3.16,0,0,8.08,0,0,0,9.66,0,0,8.17,0,9.17
 72-82,0,0,0,0,7.32,15.64,0,112.19,0,3.67,0,16.74,4.8,0,1.04,1.3,1.42,0,0.99,3566.93,0,38.69,2.48,0,7.07,340.66,0,1.54,0.7,0,6.14,2.68,0,0,20.5,0.67,2.41,5.56,0.57,33.87
 84-94,0,0,0,0,14.66,51.86,0.75,146.86,0,2.94,6.06,53.63,21.97,1.22,0.78,3.94,1.43,12.43,2.01,15126.32,2.47,59.93,0,7.34,15.58,458.16,0,0,6.54,0,32.11,1.57,0.59,0,16.57,0,2.07,9.6,5.2,10.39
 96-106,0,0,4.22,0,96.33,208.49,8.32,549.7,5.46,13.88,29.59,125.53,52.43,0,2.94,9.35,22.64,5.64,9.52,23295.9,1.3,251.33,7.11,12.1,24.11,2596.39,6.61,15.6,21.22,7.41,207.49,0.68,0.91,0,76.87,12.89,5.77,46.88,10.37,30.07
108-118,0,0,1.18,0,92.79,77.57,20.88,511.58,4.44,12.14,21.32,131.66,29.36,0,7.89,20.5,7.9,12.79,4.53,51603.93,6.92,254.19,5.87,16.99,18.47,2447.85,12.95,7.05,20.59,4.12,79.49,16.26,2.96,0,28.16,12.94,7.35,33.84,12.31,37.28
120,0,0,1.37,0,42.72,35.46,26.75,252.68,0,39.9,16.96,117.13,13.26,0,10.06,16.75,8.37,11.36,2.9,21222.66,8.73,115.5,5.68,10.83,13.96,1792.88,4.14,11.55,12.03,2.03,40.11,2.89,0,0,21.67,0,0,38.54,24.02,0
