stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.8,375.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0
  5-6,0,541.47,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.37,0,8.47,0,0,39.01,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,234,0,0,0,34.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.31,20.8,0,0,21.38,0,0,4.94,0,14.39,0,3.28,0,0,0,0
 14-21,0,0,0,2.34,18.93,4.11,0,0,0,0,45.58,2.47,0,9.23,0,0,0,0,0,6.97,0,1.82,45.93,1.51,0,6.74,3.51,0,0,0,2.66,12.22,0.81,89.85,0,0,0,0
 24-34,0,0,0,0,6.52,0,3.16,0,0,0,31.07,0,0,0,0,0,0,0,0,2.19,0,1.59,33.15,0.68,9.28,4.76,0,0,0,0,0,7.87,2.63,49.82,0,0,0,0
 36-46,0,0,0,0,7.48,0,3.19,0,0,0,24.13,0,0,0,1.03,0,0,1.15,0,8.2,0,3.06,59.8,0,6.55,0.61,0,0,0,0,0,15.99,0,45.16,0,0,0,0
 48-58,0,0,0,0,1.17,0,8.65,0,0,0,18.14,0,0,0,0,0,0,0,0,13.52,0,0.89,84.71,1.24,1.59,0.45,0,0,0,0,0,2.47,0,35.77,0,0,0,0
 60-70,0,0,0,0,0.77,0,15.19,0,0,8.4,10.57,0,0,0.75,0,0,0,0.72,3.16,11.57,1.11,0.71,65.3,0,3.89,1.88,0,0.63,0,0,0,1.06,0,12.42,0,0,0,0
 72-82,0,0,1.15,0,1.04,1.34,25.62,0,0,0,19.34,1.04,0,0,0,0,0,1.05,1.73,14.15,0,1.55,45.89,0,5.96,4.29,0,0,3.26,0,0,4.54,0,18.86,0,1.04,0,1.16
 84-94,0,0,1.48,0,1.66,0,7.6,0,0,0.58,20.81,1.58,0,0,0,0.56,0,0,2.43,30.76,1.34,0,30.32,0,1.55,7.06,0,0,0,0,0,14.09,0,7.75,1.17,0,0,0
 96-106,0,0,4.34,0,1.75,6.9,11.71,0,0.97,0,17.9,0,0,0,0,0,0,0,12.75,25.37,0,2.22,49.36,0,13.72,2.37,0,0,3.07,0,0,29.47,0,10.85,0,0,2.72,0
108-118,0,0,0,0,4.66,0,21.37,0.54,0,0.51,16.59,1.18,0,0,0.93,0,1.33,0.63,22.06,41.3,0,2.05,89.33,0,11.17,16.49,0,0,0,0,0,30.09,0,17.19,0,1.55,0.95,0
120,0,0,0,0,0,0,0,0,0,1.29,5.5,0,0,0,4.63,0,0,2.98,12.09,10.56,0,0,37.32,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0
