stage,blastomeres,endocrine.pancreas,eye,gut,immune,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,17.93,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.73,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.49,0,0,0,0
 14-21,0,0,0.92,0,0,0,0,0,0,0,0.82,0
 24-34,0,0,0.93,0,0,0,0,5.92,0,0,1.97,0
 36-46,0,0,0,0,0,0,0,3.25,1.08,0,0,0.77
 48-58,0,0,0,0,0,0,0,3.05,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.65,0,0,0,0
 72-82,0,0,0,0.66,0,0.49,0.71,3.09,0,0,0,0
 84-94,0,0,1.99,0,0,0.61,0,0,0,0,3.65,0
 96-106,0,0,0,0,0,0,0,1.62,0,2.7,0,0
108-118,0,1.62,0,2.32,0.62,0,0,0,0,0,0,2.56
120,0,0,0,0,0,1.62,2.49,0,0,5.41,0,0
