stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.34,7.19,1.37,0,10.93,0,0,2.52,2.88,0.85,0,0,0,0,0,6.59,0,0,10.29,216.28,2.26,0,2.33,1.7,0,0,7.73,0.82,1.23,5.41,38.14,0,0,0,0
 24-34,0.75,1.84,1.6,0.96,0,21.28,0,0.76,4.68,0,0,0,0,0,0,0,12.64,0,0,3.02,263.99,0,3.37,1.1,0,0,1.63,0,0.93,0,0.62,68.91,0,5.09,0,0.62
 36-46,0,0,13.63,0,0,44.64,0,0.78,14.15,0,0,0,0,0,0.56,0,10.09,0,0,3.78,364.52,2.79,2.39,0.69,0,0,2.32,0,0,0,0,85.36,0,3.24,0,2.14
 48-58,0,0,0.9,0,0,113.18,0,1.56,26.49,0,0,0,0,0,0,0,15.75,0,0.43,9.86,285.94,0,3.55,0,0,0.56,0.58,0,0,0,0,48.11,0,0.94,0,3.5
 60-70,0,0,3.11,0,0,132.66,0,1.64,23.75,0,0,0,0.6,0.71,0,0,13.93,0,1.86,0,299.33,0,0,0,0,0,0,0,0,0,0,17.96,0,0,0,0
 72-82,0,0,2.08,0,0,104.48,0,1.76,14.26,0,0,0,0,0,0,0,20.31,0.67,1.56,3.62,175.88,0,1.23,0,0,0,0.62,0,0,0,0,14.59,0,3.19,1.05,4.19
 84-94,0,0,4.08,0,0,87.05,0,0.6,6.45,2.98,0,0,0,1.9,0,0.59,17.63,0,0,5.79,158,0,0,0.72,0,0,0.76,0,0,0,0,15.1,1.86,1.81,0,0
 96-106,0,0,0.76,0,0,80.56,9.25,0,3.21,0.62,0,0,0,0,0,0,7.94,0,0,1.86,116.48,0,0,0.76,0,0,7.5,0,0,0,0,5.21,0,3.16,0,0
108-118,0,0,2.28,0,4.72,59.26,1.37,1.63,15.68,0,0,0.83,0,0,0,1.34,12.09,0,0,5.58,178.41,0,1.79,2.79,0,0,6.36,0,0,0,0,0,1.87,0.49,0,0
120,0,0,0,0,0,38.31,0,0,17.1,0,0,0,0,0,1.76,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0
