stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,26.49,0,0,0,0,0,0,0,1.71,0,0,0,0,0
 24-34,9.41,0,3.26,0,0,2.89,0,0,0,0,0,0,0,0.61,0,0,0.63,0,0,9.72,0,0,0.84,284.57,0,36.45,0,0,0,0,0,14.2,0,0,3.88,0,0
 36-46,7.28,0,0,0,0,14.58,0,0,0,1.98,0,0,0,0,0,0,0,0,0,2.86,0,0,0,911.38,0,24.8,0,0,0.7,0,0,26.73,0,0,0,0,0
 48-58,2.32,0,0.61,0.77,0,78.08,0,0,0,14.25,0,0.37,1.34,0,0,0,0,6.77,1.78,22.74,0,1.66,1.48,1404.25,0.55,75.35,0,0,0.42,0,0,62.24,0,0,2.69,0,5.58
 60-70,10.54,0,15.99,0,0,437.93,0,8.5,4.11,24.63,2.61,0,0,0,0,0,1.16,0,0,20.54,0,0.88,0.63,3154.77,0,61.98,0,0.63,4.94,0,0,101.04,0,0,0,0,3.11
 72-82,7.95,0,40.15,8.68,0,2239.46,0,5.41,5.24,135.41,14.03,0,1.6,7.6,0,7.54,0,0,3.31,100.49,0.61,5.47,6.75,5584.09,0.56,114.15,7.18,0,7.82,0,0,278.06,0.91,1.06,14.7,6.52,18.44
 84-94,5.79,0,39.3,14.58,0,2048.58,0.68,2.12,0.59,146.93,10.44,0,4.35,0.92,0,10.31,0,2.14,0.83,66.14,0,0,1.8,3691.57,2.89,128.57,2.85,0,8,0,0,152.11,0.74,0.71,0,0.68,2.83
 96-106,15.12,0,54.87,9.41,0,2856.02,0,0,0.75,174.32,28.5,0,1.52,0.96,0.86,1.81,1.32,23.65,0,111.86,0,0,8.43,4213.45,3.27,221.43,0,1.32,11.2,1.35,0,165.78,0.83,0,9.07,12.66,19.96
108-118,17.71,0.75,50.44,4.88,0.45,4196.54,0.44,3.36,0.53,245.25,21.42,0,3.6,2.42,0,3.48,0,3.42,0.52,76.57,0,2.87,4.55,7841.85,1.15,174.03,3.63,1.83,7.82,0,2.68,128.58,3.5,0.85,0.99,19.31,6.24
120,16.68,0,33.35,0,2.02,3209.66,0,1.81,25.48,291.21,8.03,0,0,10.01,0,2.83,0,7.48,0,48.11,0,2.35,8.58,8117.58,0,170.14,0,0,24.91,0,0,138.52,0,1.56,19.24,0,0
