stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,176.47,2874.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.21,0,0,0,0,0,0
  5-6,108.43,1316.46,0,10.26,0,0,0,0,0,0,7.31,0,0,0,0,0,23.77,0,0,0,6.56,38.7,0,0,0,0,0,0
  7-9,0,21.88,0,8.87,0,0,0,13.27,0,0,9.55,0,0,0,0,0,263.09,13.79,0,0,74.92,0,4.58,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,90.64,0,0,0,37.56,0,10.28,5.63,0,0,0,0
 14-21,0,0,2.06,0,1.71,0,0,3.95,0,0,0,0,0,0,1.07,0,25.51,0,0,0,0,0,0,0,0.82,3.67,0,0
 24-34,0,0,1.91,0,0,0,0,3.44,0,1.6,0,0,0,1.2,5.74,0.99,25.47,0,4.57,0,0,0.87,0,0,0,4.12,0,0
 36-46,0,0,1.35,0,3.74,0,0,2.22,0,0,0,0,0,1.34,1.22,0,10.89,0,3.74,0.61,0,0,0,0,0,0,0,0
 48-58,0,0,1.14,0,0,0,0,3.49,0,0.89,0,0,0,0,0,0,5.74,0,1.99,0,0,0,0,0,0,1.4,0,0
 60-70,0,0,1.85,0,0,0,0,5.24,0,22.87,0,0,0,0,0,0,0,0,0.81,0,0,0.84,0,0,0,0,0,0
 72-82,0,0,10.61,0,0.67,0,0.9,2.57,0,29,0.65,0,0,0,1.92,0,3.95,0,3.1,0,0,0,0,0,0,0,0,0
 84-94,0,0,15.26,0,0,6.38,0.62,0.84,0,82.31,0,0,0,3.65,3.01,0,4.1,0,0.83,1.42,0,0,0,0,0,0,0,0
 96-106,0,0,8.72,0,0,0,0,2.64,0,137.37,0,0.73,0,4.95,1.74,0,13.21,0,4.32,0,0,1.73,0,0,0,0,3,0
108-118,0,0,7.09,0,0,0,1.77,10.6,1.04,255.41,0,0,4.59,3.13,1.71,0,19.66,0,3.56,0,0,3.19,0,0,0,0.94,0.9,0
120,1.19,0,9,0,0,0,0,0,0,162.57,0,0,0,0,3.05,0,22.46,0,0,0,0,0,0,0,0,0,1.19,2.71
