stage,endocrine.pancreas,epidermis,erythrocytes,eye,immune,mesenchyme,neural,periderm,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,11.48,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.6,0,0,0,0,0
 14-21,0,1.67,5.73,0,0,2.06,1.23,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.65,0,0,0
 36-46,0,0,0,0,1.06,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.28,0,1.01,0.4,0,0,0,0
 60-70,0,0,0,0,12.75,0,0,2.37,0,0,3.21,0
 72-82,0,0,0,1.19,4.86,0.53,7.77,0,0,0,0,0
 84-94,0,0,0,0,5.52,1.18,4.18,0.76,0,0,0,0
 96-106,0.63,0,0,0,0,0,0,0,0,1.16,0,0
108-118,0,0,0,0,2.17,3.86,1.96,0.6,0,0,0,0.44
120,0,0,0,0,6.45,0,62.14,0,0,0,0,0
