stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,30.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,45.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.37,0,0,0,0,0,0,57.93,0,21.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,35.66,4.45,49.74,0,0,0,0,0
 14-21,0,0,2.82,0,0.89,0,1.5,0,50.44,0,0,0.9,1.82,0.92,7,0
 24-34,0,0,0,0,2.05,1.06,0,0,12.64,0,0,0,0,0,2.37,0
 36-46,0,0,1.03,0,0,0,0,0,12.79,0,0,0,0,0,0.86,0
 48-58,0,0,0,0,0,0,0,0,11.03,0.72,0,0,0,0,0,0
 60-70,0,0,0.61,5.92,0,0,0.6,0,7.23,0,0,0,0,0,0,0
 72-82,0,0,0,2.56,0.76,0,0.54,1.09,4.03,0,0,0,0,0,0,0.77
 84-94,0,0,0,0,0.59,0,0,0,4.69,0,0,0,0,0,0,0
 96-106,0,0,1.2,6.68,0,0,0,0,0,0,0,1.16,0,0,0,0
108-118,0,0,0,3.42,0,0,0,0,6.22,0,0,0,0,0,0,0
120,0,0,0,0,1.21,0,0,0,8.13,0,0,1.53,0,0,0,0
