stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.74,251.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.84,195.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,3.64,0,11.14,0,0,13.18,0,0,0,0,14.69,0,0,0,0,0,0,0,0,0,158.79,15.06,0,0,61.83,0,0,0,0,0,0,0,0,0
 10-12,0,32.12,0,43.8,0,6.22,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.24,51.89,0,0,109.85,0,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,0,1.77,2.66,0.84,0,0,1.09,0,0,0,0,0,0,0,0.84,0,0,3.44,22.08,0,0,1.02,0.97,0.84,0.99,0,0.8,7.97,0,0,0,0
 24-34,0,0,0,0,0,0,9.08,0.66,0,0,0,0,0,0,0,0,0,3.42,0,0.69,2.19,51.34,0,0,0,0,1.62,0,0,0,19.93,0,0,0,0
 36-46,0,0,0,0,0,0,22.33,0,0,5.33,0,0,0.69,0,0,0,0,4.41,0,0,0,63.23,0,5.91,0.67,0,0,0,0,0,11.51,0,0,0,0
 48-58,0,0,0,0,1.18,0,30.37,0,0,3.34,0,0,0,1.28,0,0,0,8.08,0,0,3.5,56.51,0,2.11,0,0,0,0,0,0,13.83,0,3.17,0,1.58
 60-70,0,0,0,0,1.15,0,57.37,0,8.36,8.09,0,0,0,0,0,0.69,0,6.83,0,0.65,0,65.68,0,3.21,0,0,0,0,0,0,14.02,0,0,0,0
 72-82,0,0,0,0,1.13,0.98,76.97,0,0.92,3.33,0,0,1.04,0,0,1.05,0,10.43,0,0,0.58,42.78,0,12.74,3.28,0,1.45,0,0,0,2.84,0,0,0.57,0
 84-94,0,0,0,0,0,0,65.42,0,0,3.04,0.9,0,0,0,0,1.7,0,13.23,0,0.73,0,43.48,0,5.11,0.62,0,1.14,0,0,0,0,0.62,4.66,0,0
 96-106,0,0,1.1,0,0,0,76.04,0,0,1.42,0,0,0,1.62,0,0,0,11.37,1.24,0,0,22.15,0.68,8.03,0,0,1.73,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.56,1.04,59.77,1.12,0,4.19,0.42,0,0,1.43,3.02,0,2.34,5.6,0,0,0.62,49.05,0,8.42,2.65,0,0.43,0,0,0,0.61,0,4.29,0,2.67
120,0,0,0,0,0,2.15,76.38,1.84,0,2.99,0,0,0,0,0,0,0,0,0,0,0,48.42,0,0,8.58,0,0,0,0,0,0,0,1.55,0,0
