stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,85.6,0,0,0,0,0,0,0.87,0,0,104.83,1.34,0,0.87,6.42,0,0,0,0,0,0,0,1.82,0,0,0,0,95.98
 24-34,0,0,0.66,0,0,376.29,0,0,0,0,0,0,10.29,0,0,739.18,2.49,0,0.62,82.38,0,0,0,0,0,12.12,0,5.1,0,0,6.86,0,423.41
 36-46,0,0,0,0,0,363.23,0,0,0.76,0,1.46,0,10.24,0,0.87,1287.01,6.88,0,0.63,61.99,1.76,1.07,0,0,0,0.73,0.9,4.92,0,0,0,0,497.64
 48-58,0,0,1.85,0.69,0,461.14,0,0,2.32,0,6.52,0,20.15,0,0,1006.7,3.73,0,1.97,57.62,0,0,1.73,0,0,0.6,0.62,6.61,0,0,2.82,0,491.07
 60-70,0,0,0,0,0,619.12,0.86,0,0,0,24.91,0,47.6,0,0,675.3,2.46,0,0,43.61,1.47,0,0,0,0,0,1.59,4.23,0,0,2.37,0,715.47
 72-82,0,0,8.96,0.84,0,559.39,0,4.29,3.3,0,22.43,0,42.9,0,5.37,344.08,30.23,2.72,0.52,18.75,0,0,1.63,0,0,0.5,14.02,3.31,0,0,4.86,0,439.86
 84-94,0,2.22,3.77,1.06,0,1220.15,0,1.75,10.57,0,39.08,0,57.58,0,0,667.28,12.62,1.07,2.73,47.68,0,0,0,0,0,1.87,26.64,0,0,0,2.02,0,204.18
 96-106,0,0,6.83,0.85,2.28,827.34,0.56,0,11.3,0,25.87,0.6,74.14,0,0,356.59,31.25,0.78,1.48,19.66,0,6.15,0,0,2.34,5.58,24.07,9.01,0,0.66,2.09,0.59,172.42
108-118,0,0,0.88,0,4.79,819.7,0,0,0.87,1.44,10.58,0,58.1,0,0,506.27,19.27,0,4.59,21.14,0.77,0,0,0,0,0.41,18.9,10.33,0,0.84,0,0,203.45
120,0,0,0,0,0,268.85,0,9.33,0,2.27,8.34,1.45,46.55,2.98,0,186.49,18.38,0,5.3,11.06,0,0,0,0,0,0,10.39,0,6.72,0,4.02,0,38.27
