stage,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,0,5.09,0,0,0,0,0
 10-12,0,0,0,0,0,4.77,0,0,0,0,0,0,0,13.01,0,14.48,0,0,0,0,0,0,0
 14-21,1.68,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,150.78,0,1.08,0,0,0
 24-34,2.76,0,0,0,0,0,0,0.71,0,4.57,0,0.88,0,12.62,0,0,0,418.32,0,0,0.75,0,0
 36-46,0,0,1.2,1.42,0.73,0,0,8.75,0,0,1.81,0,0.56,14.67,0,0,0,558.64,0,0,0,0,1.45
 48-58,0,0.81,2.67,0.44,0,0,0,0,0,0,1.29,0,0,4.19,0,0,0,325.24,0,0,0,0,1.32
 60-70,2.51,0.68,4.26,1.86,5.29,0,0,0,0,0,0,0.57,0,0.83,0,0,0,315.9,0.8,0,0.87,0,0
 72-82,0,0,0,0.71,0,0,0,0.7,0,0,0,3.05,0,8.42,0,0,0,141.58,0.55,0,0,6.8,0
 84-94,0.89,0,5.99,0.78,2.56,0,0,2.9,0,0,0,6.14,0,22.2,0,0,0,610.85,0,0,0,0,0
 96-106,1.94,0,5.08,1.31,0,0,0.71,1.84,0,0,0,2.08,0,13.67,0,0,2.45,476.22,0,0,0,0,0.72
108-118,3.06,0.65,0,2.16,0,0,0,6.69,7.04,0,0,6.16,0,5.13,1.14,0,0,358.29,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,158.97,0,0,0,0,0
