stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,874.16,0,0,23.47,0,0,11.85,0,0,0,0,0,42.73,0,0,0,0,0,0,0,0,0,0,102.63,1616.14,0,0,387.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,31.75,48.16,0,487.54,0,0,49.67,0,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0,796.01,4519.87,0,0,1999.63,0,0,40.24,73.72,0,60.98,10.18,0,0,0,0,0
 14-21,0,0,1.91,104.37,511.14,19.01,0.85,0,0,0,114.06,58.24,0,10.76,0,0,0,0,0,98.64,3.04,0,328.19,152.57,1916.93,0.84,0,25.49,0,3.81,245.89,5.71,60.68,1768.01,1315.76,0,0,0,0,1.22
 24-34,0.88,0,0,2.4,31.25,0,7.85,6.12,0,0.99,79.47,0,0,3.41,0,0,0,0,0.68,94.09,6.69,2.4,104.42,123.2,805.04,0,0,0,2.13,3.55,1.03,2.37,4.98,70.51,460.4,0,0,9.16,0,0.6
 36-46,0,0,0,0,2.06,3.68,17.29,9.38,0,1.2,8.76,0,0,23.92,0,0,0,0,0,137.53,0,22.24,30.47,96.12,633.28,0,0,0,0,1.46,0,0,0.67,0,136.79,0,2.73,2.74,1.55,0
 48-58,0,0,0,0,8.97,0,33.82,8.82,0,0.75,37.99,0,0,14.28,0,0,5.88,0,0.82,323.23,0,43.03,22.86,104,393.22,0.47,2.62,0,6.74,1.6,0,0.6,3.09,0,88.35,0,3.45,11.24,0,0
 60-70,0,0,0,0,8.27,0,65.2,10.93,9.12,5.5,23.92,3.74,0,29.99,3.27,4.43,0,0,7.74,699.5,0,121.69,25.45,80.78,201.57,0,15.95,0,16.02,0,0,0,0,0,42.71,0,31.67,3.02,32.25,0
 72-82,0,0,0,0,9.86,3.15,87.2,7.14,0,1.69,50.64,3.62,0,40.97,0.71,3.17,0,0.99,0,1005.97,0,200.73,34.51,99.16,130.12,0,4.03,0,18.87,5.65,0,0,0,0,42.42,0,80.46,1.91,85.59,16.64
 84-94,0.62,0,1.42,0,32,1.46,68.28,11.39,4.01,0,22.66,18.1,0,40.16,2.96,6.23,0.96,0,2.41,999.53,0,190.44,24.67,54.58,161.19,0,16.89,3.85,15.45,0,0,0,0.63,0,12.98,0.78,94.74,3.1,124.6,0
 96-106,1.12,0,4.25,0,25.78,7.34,47.68,17.62,2.16,1.37,42.6,19.04,0,40.9,0.72,9.64,0,0,1.45,787.9,0,151.02,29.49,111.16,130.57,0,15.84,0,39.93,10.91,0,0.88,0,0,16.26,1.68,61.45,4.25,132.57,1.22
108-118,3.02,0,0,0,33.14,1.77,53.95,4.6,3.64,3.23,38.44,12.54,0,27.82,0.93,14.32,1.02,0,1.35,860.87,0,121.69,27.36,79.42,103.69,0,4.47,0,57.67,0,0,0,1.19,0,14.79,0,53.05,4.28,129.4,4.35
120,2.37,0,0,0,40.59,0,48.41,1.18,2.08,0,7.63,17.06,0,11.48,0,10.72,0,4.72,0,697.06,0,194.79,44.26,118.86,169.85,0,8.06,0,42.02,0,0,0,1.42,0,6.57,0,86.02,9.22,192.14,0
