stage,axial,blastomeres,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,0,333.39,0,0,0,0,0,0,0,0,29.26,0,0
  5-6,8.91,164.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.13,0,0,14.53,0
 14-21,0,0,2.06,0,0,0,0,0,0.81,3.6,0,0,0.83
 24-34,0,0,0,0,0.77,0,0,0,7.35,2.54,0,0,0.9
 36-46,0,0,0,0,0.7,0,0,0.55,0,1.41,0,0,0
 48-58,0,0,0,0.52,0,0,0,0,1.97,2.34,0,0,2.31
 60-70,0,0,0,0,8.8,0,0,0,1.34,1.19,0,0,0.94
 72-82,0,0,0,3.53,0,0,0.51,0,0,0,0,0,1.14
 84-94,0,0,0,0.57,0,0,0,0,0,0.56,0,0,0
 96-106,0,0,0,12.52,0,0.74,0,0,4.33,3.27,0,0,0
108-118,0,0,0,0,2.32,0,0,0,0,1.25,0,0,0
120,0,0,0,0,0,0,0,0,5.91,0,0,0,0
