stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,68.8,2195.35,0,0,0,0,0,0,0,0,0,0,71.32,0,0,0
  5-6,39.18,382.37,0,0,0,0,0,0,18.15,14.47,0,0,0,0,0,0
  7-9,14.76,0,4.72,0,7.32,0,4.55,0,117.17,10.22,0,27.38,0,16.85,0,0
 10-12,0,5.5,4.47,0,0,0,3.86,0,13.49,0,0,19.47,0,4.94,0,0
 14-21,0,0,0,0.83,0.86,0,0,0,7.2,0,4.5,0,0,0.86,1.04,1.88
 24-34,0,0,0,0,1.67,0,0,0,6.03,0,2.19,0,0,0,0,2.66
 36-46,0,0,0,0,1.8,0,0,0,4,0,0,0,0,0,0,2.5
 48-58,0,0,0,0,2.61,0,0,0,3.96,0,0.93,0,0,0,0,0
 60-70,0,0,0,0,2.38,0,0,0,4.12,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.89,0,0,0,3.13,0,0.74,0,0,0,0,0
 84-94,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.98,0,0.42,4.51,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0
