stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,1073.12,15442.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.28,0,0,0,0,0,0,0
  5-6,1491.78,16035.29,0,37.05,0,0,0,0,0,70.7,0,0,0,0,0,496.21,38.4,0,0,103.71,513.34,0,0,0,0,0,0,0
  7-9,193.8,260.2,0,348.81,0,0,654.19,0,0,303.58,0,0,0,0,0,5710.7,195.29,0,0,2116.48,9.4,32.9,0,0,0,0,0,0
 10-12,0,111.35,0,154.52,0,13.81,222.87,0,0,60.22,0,0,0,0,0,2077.86,63.56,0,0,659.68,0,31.3,0,76.98,0,0,0,0
 14-21,0,0,0,4.97,92.3,12.51,34.16,3.16,5.95,3.58,0,1.81,2.39,21.3,26.17,268.44,10.84,0.83,3.66,4.9,0,0,49,5.67,5.54,51.15,49.98,0
 24-34,0,0,1.05,0.6,1.55,0,2.63,2.77,0,0,0,0,0,2.92,4.37,31.95,3.28,0,0,0,8.88,0,0,0,0,0.64,4.31,4.97
 36-46,0,0,0,0,1.93,0,0,0,0,0,0,0,0,2.86,0,4.86,0,1.23,0,0,17.88,0,0,0,0,0,0.79,0
 48-58,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0.38,0,2.87,0,0,0,0,0.4,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.68,0,0.72,0,0,0,0.6,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
