stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.75,1483.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.65,0,0,0,0,0,0,0,0,0,0
  5-6,110.79,2807.16,0,6.55,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,44.41,0,0,0,0,0,40.41,0,0,0,0,0,0,0,0,0,0
  7-9,79.41,111.33,0,131,0,0,0,378.11,0,0,0,0,0,120.06,0,0,0,0,0,0,0,0,0,0,0,3236.55,165.18,0,0,863.26,0,14.92,17.57,0,0,0,0,0,0,0,0,0
 10-12,0,114.18,0,246.36,0,29.87,0,392.47,0,0,0,0,0,79.98,0,0,0,0,0,3.73,0,0,0,0,0,3436.62,139.78,0,0,1085.6,0,4.49,11.5,15.09,114.45,0,10.97,0,0,0,0,0
 14-21,0.89,0,0,15.14,103.56,26.97,0,51.99,0,0,0,6.44,9.34,4.54,4.41,0,0,0,0.92,0,0,34.18,0,0,25.43,415.13,8.68,0,5.38,14.69,0,27.8,1.21,73.31,4.07,63.43,114.54,0,0,1.96,0,1.16
 24-34,0,0,0,3.34,68.14,9.46,0,87.46,0,3.59,1.99,23.38,3.93,0,0.95,3,1.92,0.63,2.21,5.45,7.18,113.63,0,1.52,30.77,556.3,6.8,0.85,7.12,0,0,89.44,0,0,5.57,18.36,87.7,0,0,38.6,0,6.57
 36-46,0,0,0,0,42.48,1.28,0,77.56,3.2,3.91,7.31,37.44,2.83,0,0,5.05,1.03,0.56,0.71,6.1,0,99.62,0,3.24,29.23,355.93,5.91,0,5.09,0,2.1,82.78,0,0,5.94,0,62.06,0,0,22.54,0,0.85
 48-58,0,0,0,0,44.91,1.41,0,71.44,0.44,13.46,7.52,56.76,7.05,0,1.75,12.18,0,0.83,2.29,5.37,10.95,122.94,11.04,1.54,37.56,259.13,7.96,6.91,15.63,0,0.47,76.15,0,0,2.74,0,37.86,0,2.06,14.1,0,14.49
 60-70,0,0,0.86,2.79,52.2,0.59,0,63.07,0,18.66,5.26,86.89,31.27,0,3.37,11.4,1.72,18.16,6.32,3.65,7.54,144.92,0,11.11,23.08,137.25,3.24,0.7,3.99,0,3.35,73.64,0,0,8.43,0,12.44,0,1.99,25.1,0,14.81
 72-82,0,0,0,0.75,23.08,18.75,1.16,55.52,0,9.48,15.45,66.03,9.22,0,2.78,22.42,2.75,0.59,8.87,4.04,0,201.88,1.06,6.62,11.43,114.94,0,4.71,10.3,0,1.06,58.1,0,0,3.03,0,17.89,1.15,8.01,39.52,1.08,8.53
 84-94,0,0,0.66,0,54.08,7.03,3.83,50.98,0,24.61,14.57,42.13,22.45,0,2.31,18.67,4.44,1.3,2.17,10.68,4.88,164.48,0.98,11.86,19.33,77.57,1.9,1.41,6.84,0,2.02,104.22,0,0,5.1,0,12.58,0.55,1.37,38.76,2.8,3.4
 96-106,0,0,1.38,0,38.01,1.97,1.58,36.4,0,8.91,3.62,46.79,11.73,0,2.67,22.69,2.35,3.67,4.54,1.82,2.05,100.89,1.8,4.69,6.6,44.63,0.7,1.81,2.78,0,4.08,132.73,0,0,1.9,0,4.6,0.67,5.07,12.62,0,8.74
108-118,0,0,1.37,0,76.58,2.66,21.36,49.19,0,6.88,15.43,50.06,15.15,0,4.8,24.06,5.8,12.1,0,7.32,10.18,152.08,3.97,8.15,24.69,84.86,4.19,0.94,3.32,0,0,112.68,0,0,3.06,0,4.72,6.91,1.07,21.27,7.11,11.93
120,0,0,0,1.27,269.78,14.53,3.92,136.05,1.76,43.23,26.94,218.47,45.37,0,1.54,80.96,1.28,0,12.73,17.69,0,395.43,3.09,17.95,51.02,236.79,33.67,11.8,27.66,0,4.59,136.31,0,0,7.18,0,6.05,2.95,0,75.38,41.66,9.47
