stage,epidermis,eye,glial,heart,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,24.64,0,0,0,7.71,0,0,0,0
 14-21,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0.81,5.15,5.35,1.79,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0.86,0,0,0
 36-46,0,0.62,0,0,0,1.04,0,0,0,17.6,0,0,0,0.74,0,0,0,2.86,0,0,0
 48-58,0,0,0,5.13,0,3.12,0,0,0,60.66,0.41,0,0,0,0,0,0,5.13,0,0,0
 60-70,0,9.68,0,0,0,0,0,0,0,163.65,0,0,0,0,0,0,0,11.93,0,0,0
 72-82,0.67,4.79,1.69,0,0,8.95,0.92,0,0,160.14,0,0,0,0,0,0,0,8.24,1.44,0,0
 84-94,0,7.11,1.98,0,0,1.15,0,1.03,0.82,46.12,0,1.22,0,0,0,0,0,10.23,0,0,0
 96-106,2.36,0.67,10.89,0,0,4.41,4.17,0,1.29,109.81,0,1.75,0,0,0,0,0,6.59,1.08,1.24,0
108-118,3.52,6.28,1.87,0,0,13.17,1.27,0,0,114.09,0,0,0,0,0,0,0,5.25,0.85,0.65,1.42
120,6.09,0,0,0,0,0,0,0,4.34,165.92,0,0,0,0,0,0,0,0,0,0,0
