stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12,0,0,0,9.65,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,4.61,0,0,0,0,0,0
 14-21,0,1.07,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0.81,0,0,0,0,0,0,0.85,1.08,0,0,0
 24-34,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,2.83,89.14,0,2.8,0,0,0,0,0,0,14.78,0,0,0
 36-46,0,0.73,1.12,0.89,2.37,0,0,0.78,0,0,0,0,0,0,0,1.04,0,0,201.11,1.28,1.01,0,0,0,0,0,0,42.29,0,0,0
 48-58,0,0,0,0,20.85,0.51,0,1.59,0,0.73,3.11,0,0,0,0,1.27,1.28,2.34,282.79,0,0.8,0,0,0.38,0,0,0,47.23,0,0,0
 60-70,0,0,0,0,57.65,0,0,2.57,0,0,0,0,0,0,0,3.18,0,0,478.82,0,0,1.23,0,0,0,0,0,54.19,0,0,7.65
 72-82,0,0,0,0.92,73.68,0,0,7.69,0,0,0,0,1.13,0,0,5.91,2.24,1.39,488.95,0,1.38,0,0,0,0,0,0,69.04,0.98,0,0.89
 84-94,0,0,0.64,0,60.49,0,0,8.04,0,0,0,0,0,0,1.36,6.64,0,0,241.44,0,0,0,0,0,0,0,0,30.56,0.97,0.89,0
 96-106,0,0,0,0,38.08,0,0,2.95,1.38,0,0,1.46,1.15,2.16,0.75,5.58,0,0,259.26,0.58,0,0,0,0,0,0,0,24.84,0,0,0
108-118,0,0,2.22,0.69,57.1,0,1.13,5.45,0,0,0,0,0,0,0,5.97,0,0,308.43,0,2.43,1.01,0,0,0,0.81,0,20.64,0,0,1.55
120,0,0,3.98,10.44,119.03,0,2.14,9.57,0,0,3.77,0,0,0,0,0,0,0,621.63,0,0,0,0,11.27,0,0,0,20.32,0,0,0
