stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,570.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.13,677.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,8.7,0,0,21.57,0,17.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.21,69.48,0,102.71,0,0,218.4,0,0,0,0,39.04,0,0,0,0,0,0,0,0,0,0,0,1429.72,87.68,0,0,488.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,38.84,0,274.77,0,42.18,160.49,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,2907.77,103.8,0,0,726.49,0,0,0,4.61,172.11,0,0,8.37,0,0,0,0,0
 14-21,0,0,1.38,1.75,41.44,17.61,5.45,0,0,147.94,5.31,0,0,0,0,0,0,0,0,19.66,0,0,4.51,374.42,2.99,11.94,52.62,26.01,0,11.17,1.53,53.27,135.29,0,14.96,476.27,0,0,0,0,0
 24-34,0,0,3.26,3.44,19.48,0.66,24.12,0,1.44,143.91,0,0,0,0.9,2.38,1.33,0.68,0,0.78,29.95,0.6,0,8.95,378.29,0.95,66.88,7.96,0,0,60.5,0,0,45.04,0,2.99,334.17,0,0,3.92,0,0
 36-46,0,0,0,0,14.91,0,73.7,21.05,0,79.44,1.56,0,0,0.73,3.07,0,0.64,8.68,0,22.34,0,0.71,3.78,364.48,1.28,69.56,15.72,0,0,102.23,0,0,44.79,0,0,202.83,0,0,0.56,0,1.59
 48-58,0,0,1,0,14.92,0,135.8,0,0.85,89.58,0.56,0,0,0,13.66,7.6,5.17,4.2,0,27.51,0.97,0,4.03,243.92,1.28,71.4,22.37,0,0.79,88.17,0,0,12.03,0,0,166.61,0,0,0,0,0
 60-70,0,0,0,0,14.36,0,190.06,2.75,0,78.08,0.62,0,2.45,0,2.13,0,2.89,0.87,3.02,23.56,1.61,0,1.5,204.09,0,79.41,20.91,0,1.44,120.91,0,0,10.29,0,0,85.19,0,1.27,0,2.76,0
 72-82,0,0,8.77,0,12.94,0.72,126.16,7.9,1.5,87.74,11.22,0,0,0,11.87,0,9.39,0,0.49,27.49,2.51,3.62,0,157.87,0,77.67,27.01,0,0,96.02,0,0,4.16,0,0,67.27,1.01,0,0,3.1,7.89
 84-94,0,0,6.78,2.19,18.52,0.81,101.73,3.78,0.89,82.01,5.18,0,0,2.35,19.19,0.62,8.82,3.23,0,32.9,4.45,1.19,4.27,97.15,0,122.55,30.63,0,1.74,285.42,0,0,8.65,0,0,63.08,0.55,0,0,1.05,0
 96-106,0,0,6.11,0.96,25.64,7.82,94.48,3.78,1.79,50.27,4.11,0,0,2.17,21.81,0,25.99,5.58,0,32.52,9.27,6.01,0,89.6,0.61,148.29,31.68,0,0,188.08,0,0,8.31,0,0,22.37,1.08,2.7,0,2.22,3.88
108-118,0,0,10.39,1.55,27.18,1.64,38.06,3.54,1.28,106.14,3.17,0,0,2.29,22.4,0,14.49,0.56,4.7,43.28,3.74,0,1.83,117.28,0,98.84,39.33,0,1.05,216.32,0,0,8.92,0.66,0,35.93,1.3,0.6,1.79,1.51,0
120,0,0,3.73,0,38.37,8.44,85.06,0,0,53.52,3.17,0,0,2.32,21.16,0,16.2,0,0,63.37,1.63,0,0,159.35,1.1,103.1,52.93,0,0,136.76,0,0,11.77,0,0,23.95,1.84,0,1.4,6.55,0
