stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.96,0,0,0,21.08,0,0,0,0,0,0,0,0,0,0
 10-12,4.38,0,10.85,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.14,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.22,4.52,4.47,0,0.93,0,0,0,11.5,4.16,0,0,0,0,0,0,0,3.7,0,0,3.2,133,1.78,0,0,0,0,0,0,0,183.06,0,0,0,0,0
 24-34,0,0,0,2.91,0,0,5.34,0,0,0,9.62,0,0,0.69,0,0,0,0,0,8.61,0,0,10.88,1092.6,1.46,20.75,0,0,0,0,1.53,0,428.5,0,0,12.14,0,0
 36-46,0,0,0,1.58,0,0,78.1,0,0,0,7.86,0,0.79,0,0,0,0.67,0,0,31.56,0,0,2.75,4188.9,1.6,39.74,0.76,0,0,1.95,2.1,0,1000.93,0,0,0.77,0,1.04
 48-58,0,0,0,7.89,0,0,373.15,0.7,0.46,0.69,59.58,0,0,0.69,0,0,1.38,0,0.99,94.99,0,1.59,8.38,5756.72,6.45,39.14,0,0,0,8.64,0,0.4,1234.75,0,0,3.43,0,4.3
 60-70,0,2.32,0,8.91,0.64,0,800.09,0.96,0,8.8,19.33,1.75,5.1,0,1.18,0,0,0,8.52,104.68,0,3.31,5.16,6367.33,0,34.14,0,0,0,0,0.86,0,1328.15,0,3.01,5.4,0,9.57
 72-82,0,0,0,16.74,1.14,0,807.11,2.58,0,4.18,35.13,3.39,1.08,0,0.89,2.92,2.66,3.06,1.32,140.33,0,1.16,4.36,4803.03,0,66.2,4.93,0,1.4,4.91,0,1.5,834.61,1.21,0,2.06,0.54,14.31
 84-94,0,2.79,0,20.23,2,0,695.92,0,0.68,0,37.31,3.25,1.31,1.82,0,0.67,0,0,0,163.78,0,0.65,2.41,3157.55,0,67.16,2.11,0,0,5.07,0,0,593.39,1.17,5.05,6.37,2.23,0
 96-106,0,0.63,0,7.5,2.06,0,465.11,0,0,0,52.2,1.87,0,2.26,2.47,4.35,5.65,2.05,0,79.42,0.76,1.17,3.01,2364.57,1.25,67.3,4.5,0,0,9.33,0.82,0,246.01,4.85,4.2,10.49,2.75,12.88
108-118,0,0,0,24.95,0.49,3.08,387.3,0,0,5.14,39.33,3.08,0,0,0.58,0,2.41,0,0,99.51,0,1.85,0.54,2820.67,0,58.01,0.91,0,1.06,6.87,0,0,150.44,0.5,0,0.99,0,0
120,0,0,0,1.33,3.08,0,515.37,0,1.21,2.81,105.32,0,0,0,0,0,0,3.92,0,110.1,0,0,1.49,3906.52,0,73.79,0,0,0,2.5,3.93,0,264.55,0,8.3,5.89,0,0
