stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.53,0,2.25,0,0,1.57,0,23.47,0,0,0,0,0
 24-34,0,0,2.18,6.65,0,0,3.18,0,0.68,0,2.28,0,5.79,0,0,0,0,0,2.84,0,1.81,456.55,0.99,109.81,0,0,0,1.62,94.43,0,0,8.61,0,0
 36-46,0,0,0,1.86,0,0,24.64,0,0,0,19.15,0,6.49,0,0,0,0,0,1.73,0,0,997.38,2.76,232.18,1.34,0,0,0,190.25,0,0,0.88,0,0
 48-58,0,0,0,0,0,0,123.23,0,0,2.56,52.84,0,0.38,0,0,7.73,0,0,15.33,0,4.95,1579.01,1.98,198.32,2.79,0,0.51,0,247.42,0,1.25,0.9,0,1.98
 60-70,0,0,0,6.15,0,0,588.98,0,0,1.28,46.51,0,1.09,2.61,0,0,0,0,12.14,0,2.45,2147.9,1.01,144.16,0,0,0,0,316.61,0,6.67,0,6,2.64
 72-82,0,0,0,2.82,0,0,970.21,0,0,6.51,45.68,0,0.89,0,0.56,2.8,0.79,1.8,33.59,12.63,5.79,2144.28,0,208.75,0,7.3,1.17,0,256.22,0,26,1.67,27.21,10.57
 84-94,0,0,0,9.25,1.58,0,619.76,0,1.24,3.01,28.88,0.88,1.5,0,0,0,0,0,17.47,1.6,4.01,1076.97,0,184.16,0.72,0,7.94,0,136.59,5.78,28.21,0,14.37,0
 96-106,0,0,0,11.8,15.25,1.52,882.46,0.71,0,2.44,45.47,0.69,1.61,0,1.91,1.22,0,3.42,54.28,6.76,11.83,1094.12,0,338.23,0,28.26,9.66,0,52.35,1.25,42.59,0,30.98,0
108-118,0,0,0.41,12.51,3.47,0,741.93,0,0,0.5,43.4,0.73,1.9,0.91,0,7.11,0,0,24.8,7.27,2.02,1621.35,1.31,190.37,0,22.35,0.92,0,74.43,3.12,32.22,0,33.27,0
120,0,0,0,7.56,4.13,0,456.81,2.36,0,0,93.48,0,0,0,0,14.04,5.48,0,34.14,22.25,2.57,1801.39,0,170.78,0,47.69,0,0,73.81,0,26.31,2.66,37.3,0
