stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.37,39.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,29.71,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,23.11,0,0,0,0,0,0,0,25.03,0,0,0,0,0,0,0,0,0,0,162.86,0,0,21.82,0,0,9.34,0,5.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.79,1.74,5.57,0,0,0,0,62.42,0,0,0,0,0,0,0,4.47,0,0,39.78,0,0,0,0,0,0,5.56,0,0.89,10.69,8.51,0,0,0,0,0.85
 24-34,0,0,1.29,1.86,1.43,1.53,7.12,0,0,0,0,0.7,0,1.43,0.94,2.53,0,2.82,5.35,3.29,0,0.75,32.3,0,0,0,0,27.81,0,0,1.96,0,4.64,1.62,0,0,9.14,0,0.81
 36-46,0,0,0,0,0,0,5.51,0,0,0,1.39,0,0,0,0,1.11,0,0,0.61,8.85,0,2.02,51.52,0,0,0,0,22.99,0,0,0.6,0,0,4.39,0,0,0.57,0,0
 48-58,0,0,0,0,0.83,0,4.73,0,0,5.02,0,0,0,0,3.44,0.51,0,0.39,0,6.96,0,0,10.15,0,0,0,0,36.9,0,0,0,4.36,0,3.39,0,0,1.44,0,6.24
 60-70,0,0,0,0,1.02,0,2.89,1.03,0,4.18,0.68,0,0,1.01,0,0.93,0,0,0,11.81,0,0.75,11.82,0,0,0,0,43.58,0,0,3.95,1.49,0,5.81,0,0,2.53,0,0
 72-82,0,0,0,0,2.02,0,8.24,0,0,5.02,3.88,0,0.68,0.6,0,0.83,0.64,0.64,1.94,13.49,0,0.66,13.37,0,0,0,0,14.11,0,0,0,0,0,0,0,0,5.27,0,4.17
 84-94,0,0,0,0,0.89,0,0.71,1.69,0,9.75,4.5,0,0,2.33,0,11.68,0,1.36,1.13,9.69,0.95,0.69,17.81,0,1.73,0,0,74.32,0,0,1.13,0,0,0,1.16,0.88,1.69,0,0.74
 96-106,0,0,0,0,9.69,1.5,17.53,0.98,1.34,8.98,6.12,0,0.95,3.71,1.79,1.83,0.75,26.57,0,11.28,2.27,0.57,28.23,0.81,1.48,0,3.14,60.71,0,0,3.65,6.18,0,0,0,0,3.38,0,0
108-118,0,0,0,0,1.85,0,5.87,1.61,2.69,13.29,14.98,0,0,7.85,0.8,0.43,0.78,13.04,0,17.37,0,5.44,20.13,0.43,1.02,0,0,54.1,0,0,3.24,0,0,0,0,0,1.24,1.17,0.49
120,0,0,0,0,7.65,4.92,9.17,0,0,14.07,13.25,0,0,1.5,4.52,5.64,1.12,19.57,0,7.3,0,1.28,35.81,0,0,0,0,10.82,0,0,2.11,0,0,0,0,4.24,17.86,0,0
