stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,681.9,9734.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.44,0,0,0,0,0,0
  5-6,619.13,9921.69,10.68,0,0,0,0,0,0,22.09,0,0,407.89,17.6,0,18.33,175.69,0,0,0,0,0,0
  7-9,135.72,130.22,259.13,0,0,376.36,0,0,0,126.24,0,0,3624.32,151.81,0,1332.68,5.27,52.57,0,0,0,0,0
 10-12,0,30,97.64,0,0,142,0,0,0,12.38,0,0,1239.19,73.87,0,505.24,4.05,11.59,0,42.6,0,0,0
 14-21,0,0,0,30.88,8.91,3.39,0,1.2,2.27,0.96,9.47,5.32,106.84,10.12,0.8,2.23,2.85,1.12,18.76,3.77,15.93,16.52,0
 24-34,0,0,0,1.3,0,1.97,1.2,0,0,0,1.61,3.67,8.72,0,0,0,7.07,0,0,0,0,0,4.69
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,8.13,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0.56,0,0,0,0,1.05,0.6
 60-70,0,0,0,3.82,0,0,0,0,0,0,0,0,1.26,0,0,0,5.03,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.45,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
