stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,49.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.92,0,0,0,0,0,0,0,0,0,6.49,0
  7-9,0,0,0,0,0,0,39.47,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.68,0,0,4.36,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,1.17
 24-34,0,0,0,0,0,0,10.05,0,0,0,0,3.38
 36-46,0,0,0,0,0,0,38.81,0,0,0,0,0.84
 48-58,0,0.71,0,1.83,6.64,0.48,14.31,0,0,0,0,7.44
 60-70,0,0,0,1.31,0.99,1.4,11.82,0,0,0,0,4.92
 72-82,0,0,0,8.91,0,1.17,16.56,0,0,0,0,0
 84-94,0,0,0,8.51,0,0,11.1,0,0,0,0,0
 96-106,0,1.96,0,1.24,1.49,0,3.94,0.68,1.39,0,0,0
108-118,0,0,0.57,0,0,1.06,3.36,0,0,0,0,0
120,0,0,0,0,0,0,16.87,0,0,0,0,0
